season,date,home,away,ht_home,ht_away,ft_home,ft_away
2022,2022-08-05,Eintracht Frankfurt,Bayern Munich,0,5,1,6
2022,2022-08-06,VfL Wolfsburg,Werder Bremen,1,2,2,2
2022,2022-08-06,Borussia Monchengladbach,1899 Hoffenheim,1,1,3,1
2022,2022-08-06,FC Augsburg,SC Freiburg,0,0,0,4
2022,2022-08-06,Vfl Bochum,FSV Mainz 05,1,1,1,2
2022,2022-08-06,Union Berlin,Hertha Berlin,1,0,3,1
2022,2022-08-06,Borussia Dortmund,Bayer Leverkusen,1,0,1,0
2022,2022-08-07,VfB Stuttgart,RB Leipzig,1,1,1,1
2022,2022-08-07,1.FC Köln,FC Schalke 04,0,0,3,1
2022,2022-08-12,SC Freiburg,Borussia Dortmund,1,0,1,3
2022,2022-08-13,Hertha Berlin,Eintracht Frankfurt,1,0,1,1
2022,2022-08-13,Werder Bremen,VfB Stuttgart,1,1,2,2
2022,2022-08-13,1899 Hoffenheim,Vfl Bochum,2,2,3,2
2022,2022-08-13,Bayer Leverkusen,FC Augsburg,1,1,1,2
2022,2022-08-13,RB Leipzig,1.FC Köln,1,1,2,2
2022,2022-08-13,FC Schalke 04,Borussia Monchengladbach,1,0,2,2
2022,2022-08-14,FSV Mainz 05,Union Berlin,0,0,0,0
2022,2022-08-14,Bayern Munich,VfL Wolfsburg,2,0,2,0
2022,2022-08-19,Borussia Monchengladbach,Hertha Berlin,1,0,1,0
2022,2022-08-20,VfL Wolfsburg,FC Schalke 04,0,0,0,0
2022,2022-08-20,Borussia Dortmund,Werder Bremen,1,0,2,3
2022,2022-08-20,Bayer Leverkusen,1899 Hoffenheim,0,2,0,3
2022,2022-08-20,FC Augsburg,FSV Mainz 05,1,1,1,2
2022,2022-08-20,VfB Stuttgart,SC Freiburg,0,1,0,1
2022,2022-08-20,Union Berlin,RB Leipzig,2,0,2,1
2022,2022-08-21,Eintracht Frankfurt,1.FC Köln,0,0,1,1
2022,2022-08-21,Vfl Bochum,Bayern Munich,0,4,0,7
2022,2022-08-26,SC Freiburg,Vfl Bochum,0,0,1,0
2022,2022-08-27,Hertha Berlin,Borussia Dortmund,0,1,0,1
2022,2022-08-27,FSV Mainz 05,Bayer Leverkusen,0,3,0,3
2022,2022-08-27,1899 Hoffenheim,FC Augsburg,1,0,1,0
2022,2022-08-27,RB Leipzig,VfL Wolfsburg,1,0,2,0
2022,2022-08-27,FC Schalke 04,Union Berlin,1,3,1,6
2022,2022-08-27,Bayern Munich,Borussia Monchengladbach,0,1,1,1
2022,2022-08-28,1.FC Köln,VfB Stuttgart,0,0,0,0
2022,2022-08-28,Werder Bremen,Eintracht Frankfurt,2,3,3,4
2022,2022-09-02,Borussia Dortmund,1899 Hoffenheim,1,0,1,0
2022,2022-09-03,VfL Wolfsburg,1.FC Köln,1,3,2,4
2022,2022-09-03,Bayer Leverkusen,SC Freiburg,1,0,2,3
2022,2022-09-03,VfB Stuttgart,FC Schalke 04,1,1,1,1
2022,2022-09-03,Vfl Bochum,Werder Bremen,0,0,0,2
2022,2022-09-03,Union Berlin,Bayern Munich,1,1,1,1
2022,2022-09-03,Eintracht Frankfurt,RB Leipzig,2,0,4,0
2022,2022-09-04,FC Augsburg,Hertha Berlin,0,0,0,2
2022,2022-09-04,Borussia Monchengladbach,FSV Mainz 05,0,0,0,1
2022,2022-09-09,Werder Bremen,FC Augsburg,0,0,0,1
2022,2022-09-10,Bayern Munich,VfB Stuttgart,1,0,2,2
2022,2022-09-10,Hertha Berlin,Bayer Leverkusen,0,0,2,2
2022,2022-09-10,1899 Hoffenheim,FSV Mainz 05,0,0,4,1
2022,2022-09-10,Eintracht Frankfurt,VfL Wolfsburg,0,0,0,1
2022,2022-09-10,RB Leipzig,Borussia Dortmund,2,0,3,0
2022,2022-09-10,FC Schalke 04,Vfl Bochum,1,0,3,1
2022,2022-09-11,1.FC Köln,Union Berlin,0,1,0,1
2022,2022-09-11,SC Freiburg,Borussia Monchengladbach,0,0,0,0
2022,2022-09-16,FSV Mainz 05,Hertha Berlin,0,1,1,1
2022,2022-09-17,Borussia Dortmund,FC Schalke 04,0,0,1,0
2022,2022-09-17,Bayer Leverkusen,Werder Bremen,0,0,1,1
2022,2022-09-17,FC Augsburg,Bayern Munich,0,0,1,0
2022,2022-09-17,VfB Stuttgart,Eintracht Frankfurt,0,1,1,3
2022,2022-09-17,Borussia Monchengladbach,RB Leipzig,2,0,3,0
2022,2022-09-18,Union Berlin,VfL Wolfsburg,0,0,2,0
2022,2022-09-18,Vfl Bochum,1.FC Köln,1,0,1,1
2022,2022-09-18,1899 Hoffenheim,SC Freiburg,0,0,0,0
2022,2022-09-30,Bayern Munich,Bayer Leverkusen,3,0,4,0
2022,2022-10-01,SC Freiburg,FSV Mainz 05,2,0,2,1
2022,2022-10-01,VfL Wolfsburg,VfB Stuttgart,2,2,3,2
2022,2022-10-01,Eintracht Frankfurt,Union Berlin,2,0,2,0
2022,2022-10-01,RB Leipzig,Vfl Bochum,2,0,4,0
2022,2022-10-01,1.FC Köln,Borussia Dortmund,0,1,3,2
2022,2022-10-01,Werder Bremen,Borussia Monchengladbach,4,0,5,1
2022,2022-10-02,Hertha Berlin,1899 Hoffenheim,1,1,1,1
2022,2022-10-02,FC Schalke 04,FC Augsburg,1,2,2,3
