season,date,home,away,ht_home,ht_away,ft_home,ft_away
2024,2024-08-09,Galatasaray,Hatayspor,0,0,2,1
2024,2024-08-10,Kasimpasa,Konyaspor,0,1,2,3
2024,2024-08-10,Fenerbahce,Adana Demirspor,1,0,1,0
2024,2024-08-10,Antalyaspor,Goztepe,0,0,0,0
2024,2024-08-11,Sivasspor,Trabzonspor,0,0,0,0
2024,2024-08-11,Alanyaspor,Eyüpspor,0,0,1,1
2024,2024-08-11,Samsunspor,Besiktas,0,2,0,2
2024,2024-08-12,Rizespor,Istanbul Basaksehir,1,1,1,1
2024,2024-08-12,BB Bodrumspor,Gazişehir Gaziantep,0,0,0,1
2024,2024-08-16,Konyaspor,Galatasaray,1,1,1,2
2024,2024-08-17,Kayserispor,Sivasspor,1,1,1,2
2024,2024-08-17,Goztepe,Fenerbahce,0,2,2,2
2024,2024-08-17,Adana Demirspor,Rizespor,0,1,1,2
2024,2024-08-18,Istanbul Basaksehir,Alanyaspor,1,2,4,2
2024,2024-08-18,Besiktas,Antalyaspor,2,1,4,2
2024,2024-08-18,Gazişehir Gaziantep,Samsunspor,0,1,0,1
2024,2024-08-19,Hatayspor,Kasimpasa,1,0,1,1
2024,2024-08-19,Eyüpspor,BB Bodrumspor,0,1,4,1
2024,2024-08-23,Alanyaspor,Goztepe,0,1,1,1
2024,2024-08-24,Sivasspor,Eyüpspor,0,1,0,1
2024,2024-08-24,BB Bodrumspor,Konyaspor,2,1,3,1
2024,2024-08-25,Kasimpasa,Adana Demirspor,1,0,2,2
2024,2024-08-25,Antalyaspor,Hatayspor,0,2,3,2
2024,2024-08-25,Rizespor,Fenerbahce,0,1,0,5
2024,2024-08-30,Fenerbahce,Alanyaspor,1,0,3,0
2024,2024-08-31,Konyaspor,Kayserispor,0,0,0,0
2024,2024-08-31,Rizespor,Kasimpasa,0,1,0,1
2024,2024-08-31,Goztepe,BB Bodrumspor,2,0,2,0
2024,2024-08-31,Adana Demirspor,Galatasaray,0,4,1,5
2024,2024-09-01,Istanbul Basaksehir,Antalyaspor,1,2,5,2
2024,2024-09-01,Eyüpspor,Trabzonspor,0,0,0,0
2024,2024-09-01,Besiktas,Sivasspor,1,0,2,0
2024,2024-09-01,Hatayspor,Samsunspor,0,1,0,3
2024,2024-09-14,Sivasspor,Gazişehir Gaziantep,1,1,3,2
2024,2024-09-14,Samsunspor,Konyaspor,0,1,0,1
