season,date,home,away,ht_home,ht_away,ft_home,ft_away
2023,2023-08-26,Bnei Sakhnin,Hapoel Tel Aviv,0,1,1,1
2023,2023-08-26,Maccabi Petah Tikva,Hapoel Katamon,0,1,1,1
2023,2023-08-26,Hapoel Beer Sheva,Hapoel Hadera,2,0,3,0
2023,2023-08-26,Maccabi Netanya,Maccabi Bnei Raina,1,0,1,1
2023,2023-08-27,Maccabi Tel Aviv,Ashdod,0,0,4,1
2023,2023-08-28,Beitar Jerusalem,Hapoel Haifa,1,0,1,2
2023,2023-09-02,Hapoel Petah Tikva,Bnei Sakhnin,1,0,1,1
2023,2023-09-02,Maccabi Bnei Raina,Hapoel Beer Sheva,1,1,1,1
2023,2023-09-02,Hapoel Haifa,Maccabi Petah Tikva,0,1,2,2
2023,2023-09-02,Hapoel Tel Aviv,Maccabi Netanya,1,0,2,0
2023,2023-09-03,Hapoel Katamon,Maccabi Haifa,1,2,1,2
2023,2023-09-03,Hapoel Hadera,Maccabi Tel Aviv,0,1,0,3
2023,2023-09-04,Ashdod,Beitar Jerusalem,1,1,1,2
2023,2023-09-17,Bnei Sakhnin,Hapoel Katamon,1,0,2,1
2023,2023-09-17,Maccabi Tel Aviv,Maccabi Bnei Raina,1,0,1,1
2023,2023-09-17,Hapoel Haifa,Ashdod,0,0,2,0
2023,2023-09-17,Maccabi Petah Tikva,Maccabi Haifa,1,1,3,2
2023,2023-09-17,Maccabi Netanya,Hapoel Petah Tikva,2,0,4,1
2023,2023-09-18,Beitar Jerusalem,Hapoel Hadera,0,0,2,0
2023,2023-09-18,Hapoel Beer Sheva,Hapoel Tel Aviv,0,0,0,0
2023,2023-09-23,Hapoel Petah Tikva,Hapoel Beer Sheva,0,0,1,0
2023,2023-09-23,Hapoel Hadera,Hapoel Haifa,1,2,1,2
2023,2023-09-23,Hapoel Katamon,Maccabi Netanya,0,0,1,1
2023,2023-09-23,Ashdod,Maccabi Petah Tikva,0,0,1,1
2023,2023-09-23,Maccabi Bnei Raina,Beitar Jerusalem,0,1,2,1
2023,2023-09-26,Hapoel Tel Aviv,Maccabi Tel Aviv,0,3,0,5
2023,2023-09-27,Maccabi Haifa,Bnei Sakhnin,1,1,1,1
2023,2023-09-30,Maccabi Tel Aviv,Hapoel Petah Tikva,0,0,2,0
2023,2023-09-30,Maccabi Petah Tikva,Bnei Sakhnin,3,1,5,1
2023,2023-09-30,Hapoel Haifa,Maccabi Bnei Raina,1,2,1,2
2023,2023-09-30,Ashdod,Hapoel Hadera,0,0,0,1
2023,2023-09-30,Hapoel Beer Sheva,Hapoel Katamon,2,0,3,0
2023,2023-10-01,Maccabi Netanya,Maccabi Haifa,2,2,2,3
2023,2023-10-02,Beitar Jerusalem,Hapoel Tel Aviv,0,1,0,3
2023,2023-11-25,Maccabi Haifa,Hapoel Petah Tikva,2,0,2,1
2023,2023-12-02,Hapoel Tel Aviv,Hapoel Haifa,0,1,0,1
2023,2023-12-02,Hapoel Hadera,Maccabi Petah Tikva,1,0,3,0
2023,2023-12-02,Bnei Sakhnin,Maccabi Netanya,0,1,1,1
2023,2023-12-02,Maccabi Bnei Raina,Ashdod,0,0,0,0
2023,2023-12-02,Hapoel Petah Tikva,Beitar Jerusalem,1,0,1,0
2023,2023-12-03,Hapoel Katamon,Maccabi Tel Aviv,1,0,1,2
2023,2023-12-03,Maccabi Haifa,Hapoel Beer Sheva,0,0,1,0
2023,2023-12-05,Maccabi Petah Tikva,Maccabi Netanya,1,0,1,0
2023,2023-12-05,Hapoel Hadera,Maccabi Bnei Raina,0,1,0,2
2023,2023-12-05,Hapoel Haifa,Hapoel Petah Tikva,1,0,1,1
2023,2023-12-05,Ashdod,Hapoel Tel Aviv,1,0,2,1
2023,2023-12-06,Hapoel Beer Sheva,Bnei Sakhnin,1,0,1,2
2023,2023-12-06,Beitar Jerusalem,Hapoel Katamon,0,0,1,0
2023,2023-12-09,Hapoel Petah Tikva,Ashdod,0,0,1,1
2023,2023-12-09,Maccabi Bnei Raina,Maccabi Petah Tikva,2,0,3,0
2023,2023-12-09,Hapoel Tel Aviv,Hapoel Hadera,1,0,1,1
2023,2023-12-10,Hapoel Katamon,Hapoel Haifa,0,0,0,1
2023,2023-12-10,Bnei Sakhnin,Maccabi Tel Aviv,0,1,2,3
2023,2023-12-10,Maccabi Haifa,Beitar Jerusalem,0,1,1,1
2023,2023-12-11,Maccabi Netanya,Hapoel Beer Sheva,0,0,1,0
2023,2023-12-16,Maccabi Bnei Raina,Hapoel Tel Aviv,0,2,1,2
2023,2023-12-16,Maccabi Petah Tikva,Hapoel Beer Sheva,1,0,1,4
2023,2023-12-16,Hapoel Hadera,Hapoel Petah Tikva,0,0,1,0
2023,2023-12-16,Ashdod,Hapoel Katamon,0,0,2,0
2023,2023-12-16,Beitar Jerusalem,Bnei Sakhnin,0,1,1,1
2023,2023-12-17,Maccabi Tel Aviv,Maccabi Netanya,1,1,2,1
