season,date,home,away,ht_home,ht_away,ft_home,ft_away
2024,2024-02-24,Maitland,Valentine,0,1,0,1
2024,2024-02-24,Cooks Hill United,Hamilton Olympic,0,1,1,2
2024,2024-02-24,Lake Macquarie,Lambton Jaffas,0,0,0,3
2024,2024-02-25,Charlestown City Blues,New Lambton,1,1,2,1
2024,2024-03-02,New Lambton,Valentine,0,1,0,3
2024,2024-03-02,Adamstown Rosebuds,Charlestown City Blues,0,2,0,3
2024,2024-03-02,Hamilton Olympic,Edgeworth Eagles,1,1,1,1
2024,2024-03-02,Weston Bears,Maitland,2,1,5,1
2024,2024-03-02,Lake Macquarie,Broadmeadow Magic,1,1,1,4
2024,2024-03-03,Lambton Jaffas,Cooks Hill United,2,0,4,1
2024,2024-03-05,Broadmeadow Magic,Adamstown Rosebuds,3,1,3,2
2024,2024-03-06,Edgeworth Eagles,Weston Bears,0,0,0,0
2024,2024-03-09,Adamstown Rosebuds,Valentine,0,1,0,3
2024,2024-03-09,Edgeworth Eagles,Lambton Jaffas,0,1,0,2
2024,2024-03-09,New Lambton,Maitland,0,0,1,2
2024,2024-03-09,Cooks Hill United,Broadmeadow Magic,2,3,3,4
2024,2024-03-10,Charlestown City Blues,Lake Macquarie,3,0,4,1
2024,2024-03-10,Weston Bears,Hamilton Olympic,0,0,0,1
2024,2024-03-16,Hamilton Olympic,Maitland,0,0,0,3
2024,2024-03-16,Cooks Hill United,Charlestown City Blues,0,1,0,2
2024,2024-03-16,Adamstown Rosebuds,New Lambton,0,0,2,2
2024,2024-03-16,Valentine,Lake Macquarie,2,0,5,0
2024,2024-03-17,Broadmeadow Magic,Edgeworth Eagles,1,0,3,1
2024,2024-03-17,Lambton Jaffas,Weston Bears,1,1,2,1
2024,2024-03-23,Edgeworth Eagles,Charlestown City Blues,0,1,0,2
2024,2024-03-23,Lambton Jaffas,Hamilton Olympic,1,0,1,0
2024,2024-03-23,New Lambton,Lake Macquarie,0,0,1,2
2024,2024-03-23,Cooks Hill United,Valentine,0,1,1,1
2024,2024-03-23,Maitland,Adamstown Rosebuds,0,1,1,1
2024,2024-03-23,Weston Bears,Broadmeadow Magic,0,2,2,3
2024,2024-04-06,Valentine,Edgeworth Eagles,0,1,0,2
2024,2024-04-07,Broadmeadow Magic,Hamilton Olympic,1,0,3,0
2024,2024-04-07,Charlestown City Blues,Weston Bears,0,0,1,3
2024,2024-04-13,Adamstown Rosebuds,Cooks Hill United,1,1,1,3
2024,2024-04-13,New Lambton,Edgeworth Eagles,0,1,0,1
2024,2024-04-13,Valentine,Weston Bears,2,0,2,0
2024,2024-04-13,Maitland,Lake Macquarie,2,0,2,0
2024,2024-04-14,Broadmeadow Magic,Lambton Jaffas,2,1,2,3
2024,2024-04-14,Hamilton Olympic,Charlestown City Blues,1,1,3,1
2024,2024-04-19,New Lambton,Weston Bears,2,0,2,1
2024,2024-04-21,Charlestown City Blues,Lambton Jaffas,0,1,1,2
2024,2024-04-25,Adamstown Rosebuds,Weston Bears,0,0,0,2
2024,2024-04-27,Lambton Jaffas,Valentine,3,1,3,2
2024,2024-04-27,Lake Macquarie,Edgeworth Eagles,1,1,1,4
2024,2024-04-27,Maitland,Cooks Hill United,0,1,2,2
2024,2024-04-28,Charlestown City Blues,Broadmeadow Magic,0,0,2,0
2024,2024-04-28,Hamilton Olympic,New Lambton,1,0,2,1
2024,2024-04-30,Maitland,Lambton Jaffas,0,0,0,5
2024,2024-05-04,Cooks Hill United,Edgeworth Eagles,0,2,0,2
2024,2024-05-04,Valentine,Broadmeadow Magic,1,2,2,4
2024,2024-05-05,Weston Bears,Lake Macquarie,4,1,6,1
2024,2024-05-10,Broadmeadow Magic,New Lambton,2,0,5,1
2024,2024-05-11,Lambton Jaffas,Adamstown Rosebuds,2,0,7,0
2024,2024-05-12,Charlestown City Blues,Valentine,2,0,3,0
2024,2024-05-12,Weston Bears,Cooks Hill United,0,0,1,2
2024,2024-05-18,Adamstown Rosebuds,Broadmeadow Magic,1,5,2,8
2024,2024-05-18,Lambton Jaffas,Lake Macquarie,2,0,4,0
2024,2024-05-18,Valentine,Maitland,0,2,2,4
2024,2024-05-19,Hamilton Olympic,Cooks Hill United,1,1,1,1
2024,2024-05-19,Weston Bears,Edgeworth Eagles,0,1,0,2
2024,2024-05-19,New Lambton,Charlestown City Blues,0,0,0,1
2024,2024-05-22,Valentine,Hamilton Olympic,0,1,0,2
2024,2024-05-24,Broadmeadow Magic,Lake Macquarie,0,0,3,1
2024,2024-05-25,Edgeworth Eagles,Hamilton Olympic,2,0,4,0
2024,2024-05-25,Maitland,Weston Bears,0,0,0,1
2024,2024-05-25,Cooks Hill United,Lambton Jaffas,0,2,2,3
2024,2024-05-25,Valentine,New Lambton,0,0,2,0
2024,2024-05-26,Charlestown City Blues,Adamstown Rosebuds,1,0,4,0
2024,2024-05-28,New Lambton,Lambton Jaffas,0,1,1,1
2024,2024-05-29,Edgeworth Eagles,Adamstown Rosebuds,4,0,7,0
2024,2024-05-29,Maitland,Charlestown City Blues,1,0,2,2
2024,2024-05-31,Broadmeadow Magic,Cooks Hill United,1,1,5,2
2024,2024-06-04,Broadmeadow Magic,Maitland,1,0,2,0
2024,2024-06-07,Cooks Hill United,Lake Macquarie,1,0,4,1
2024,2024-06-12,Cooks Hill United,New Lambton,0,0,1,2
