season,date,home,away,ht_home,ht_away,ft_home,ft_away,fixture_id,league_id
2022,2022-08-05,Lyon,Ajaccio,2,1,2,1,871474,61
2022,2022-08-06,Strasbourg,Monaco,0,1,1,2,871470,61
2022,2022-08-06,Clermont Foot,Paris Saint Germain,0,3,0,5,871472,61
2022,2022-08-07,Toulouse,Nice,1,0,1,1,871473,61
2022,2022-08-07,Angers,Nantes,0,0,0,0,871476,61
2022,2022-08-07,Lille,Auxerre,3,0,4,1,871475,61
2022,2022-08-07,Montpellier,Estac Troyes,2,2,3,2,871477,61
2022,2022-08-07,Lens,Stade Brestois 29,1,0,3,2,871479,61
2022,2022-08-07,Rennes,Lorient,0,0,0,1,871471,61
2022,2022-08-07,Marseille,Reims,2,0,4,1,871478,61
2022,2022-08-12,Nantes,Lille,1,0,1,1,871484,61
2022,2022-08-13,Monaco,Rennes,0,0,1,1,871482,61
2022,2022-08-13,Paris Saint Germain,Montpellier,2,0,5,2,871486,61
2022,2022-08-14,Reims,Clermont Foot,2,0,2,4,871488,61
2022,2022-08-14,Ajaccio,Lens,0,0,0,0,871480,61
2022,2022-08-14,Auxerre,Angers,2,1,2,2,871481,61
2022,2022-08-14,Estac Troyes,Toulouse,0,1,0,3,871489,61
2022,2022-08-14,Nice,Strasbourg,1,0,1,1,871485,61
2022,2022-08-14,Stade Brestois 29,Marseille,0,1,1,1,871487,61
2022,2022-08-19,Lyon,Estac Troyes,1,1,4,1,871495,61
2022,2022-08-20,Monaco,Lens,1,2,1,4,871490,61
2022,2022-08-20,Marseille,Nantes,0,0,2,1,871496,61
2022,2022-08-21,Strasbourg,Reims,1,0,1,1,871497,61
2022,2022-08-21,Angers,Stade Brestois 29,0,2,1,3,871491,61
2022,2022-08-21,Montpellier,Auxerre,1,0,1,2,871494,61
2022,2022-08-21,Toulouse,Lorient,1,1,2,2,871499,61
2022,2022-08-21,Clermont Foot,Nice,1,0,1,0,871492,61
2022,2022-08-21,Rennes,Ajaccio,1,0,2,1,871498,61
2022,2022-08-21,Lille,Paris Saint Germain,0,4,1,7,871493,61
2022,2022-08-26,Ajaccio,Lille,0,2,1,3,871500,61
2022,2022-08-27,Auxerre,Strasbourg,1,0,1,0,871501,61
2022,2022-08-27,Lens,Rennes,0,0,2,1,871506,61
2022,2022-08-28,Nantes,Toulouse,0,1,3,1,871503,61
2022,2022-08-28,Nice,Marseille,0,3,0,3,871504,61
2022,2022-08-28,Lorient,Clermont Foot,2,0,2,1,871502,61
2022,2022-08-28,Stade Brestois 29,Montpellier,0,5,0,7,871507,61
2022,2022-08-28,Estac Troyes,Angers,1,0,3,1,871509,61
2022,2022-08-28,Reims,Lyon,1,0,1,1,871508,61
2022,2022-08-28,Paris Saint Germain,Monaco,0,1,1,1,871505,61
2022,2022-08-31,Angers,Reims,0,2,2,4,871511,61
2022,2022-08-31,Lyon,Auxerre,1,0,2,1,871514,61
2022,2022-08-31,Montpellier,Ajaccio,1,0,2,0,871513,61
2022,2022-08-31,Monaco,Estac Troyes,1,2,2,4,871510,61
2022,2022-08-31,Strasbourg,Nantes,1,0,1,1,871517,61
2022,2022-08-31,Lille,Nice,1,2,1,2,871512,61
2022,2022-08-31,Marseille,Clermont Foot,0,0,1,0,871515,61
2022,2022-08-31,Rennes,Stade Brestois 29,0,0,3,1,871518,61
2022,2022-08-31,Toulouse,Paris Saint Germain,0,1,0,3,871519,61
2022,2022-08-31,Lens,Lorient,2,1,5,2,871516,61
2022,2022-09-03,Auxerre,Marseille,0,1,0,2,871521,61
2022,2022-09-03,Lyon,Angers,2,0,5,0,871526,61
2022,2022-09-03,Nantes,Paris Saint Germain,0,1,0,3,871523,61
2022,2022-09-04,Montpellier,Lille,1,1,1,3,871524,61
2022,2022-09-04,Reims,Lens,0,0,1,1,871528,61
2022,2022-09-04,Ajaccio,Lorient,0,0,0,1,871520,61
2022,2022-09-04,Clermont Foot,Toulouse,0,0,2,0,871522,61
2022,2022-09-04,Stade Brestois 29,Strasbourg,1,1,1,1,871527,61
2022,2022-09-04,Estac Troyes,Rennes,1,0,1,1,871529,61
2022,2022-09-04,Nice,Monaco,0,0,0,1,871525,61
2022,2022-09-07,Lorient,Lyon,2,1,3,1,871483,61
2022,2022-09-09,Lens,Estac Troyes,1,0,1,0,871536,61
2022,2022-09-10,Paris Saint Germain,Stade Brestois 29,1,0,1,0,871535,61
2022,2022-09-10,Marseille,Lille,1,1,2,1,871534,61
2022,2022-09-11,Strasbourg,Clermont Foot,0,0,0,0,871537,61
2022,2022-09-11,Angers,Montpellier,1,1,2,1,871532,61
2022,2022-09-11,Toulouse,Reims,1,0,1,0,871539,61
2022,2022-09-11,Lorient,Nantes,1,1,3,2,871533,61
2022,2022-09-11,Ajaccio,Nice,0,0,0,1,871530,61
2022,2022-09-11,Rennes,Auxerre,1,0,5,0,871538,61
2022,2022-09-11,Monaco,Lyon,0,0,2,1,871531,61
2022,2022-09-16,Auxerre,Lorient,0,3,1,3,871540,61
2022,2022-09-17,Montpellier,Strasbourg,1,0,2,1,871544,61
2022,2022-09-17,Lille,Toulouse,1,0,2,1,871543,61
2022,2022-09-18,Reims,Monaco,0,0,0,3,871549,61
2022,2022-09-18,Marseille,Rennes,0,1,1,1,871547,61
2022,2022-09-18,Nice,Angers,0,1,0,1,871545,61
2022,2022-09-18,Clermont Foot,Estac Troyes,1,1,1,3,871541,61
2022,2022-09-18,Stade Brestois 29,Ajaccio,0,0,0,1,871548,61
2022,2022-09-18,Nantes,Lens,0,0,0,0,871542,61
2022,2022-09-18,Lyon,Paris Saint Germain,0,1,0,1,871546,61
2022,2022-09-30,Angers,Marseille,0,1,0,3,871553,61
2022,2022-10-01,Strasbourg,Rennes,0,1,1,3,871557,61
2022,2022-10-01,Paris Saint Germain,Nice,1,0,2,1,871555,61
2022,2022-10-02,Lorient,Lille,1,0,2,1,871554,61
2022,2022-10-02,Toulouse,Montpellier,3,1,4,2,871558,61
2022,2022-10-02,Ajaccio,Clermont Foot,0,1,1,3,871550,61
2022,2022-10-02,Auxerre,Stade Brestois 29,0,0,1,1,871551,61
2022,2022-10-02,Estac Troyes,Reims,0,1,2,2,871559,61
2022,2022-10-02,Monaco,Nantes,3,0,4,1,871552,61
2022,2022-10-02,Lens,Lyon,0,0,1,0,871556,61
2022,2022-10-07,Lyon,Toulouse,1,0,1,1,871565,61
2022,2022-10-08,Marseille,Ajaccio,1,1,1,2,871566,61
2022,2022-10-08,Reims,Paris Saint Germain,0,0,0,0,871569,61
2022,2022-10-09,Montpellier,Monaco,0,1,0,2,871563,61
2022,2022-10-09,Angers,Strasbourg,1,2,2,3,871560,61
2022,2022-10-09,Nice,Estac Troyes,2,0,3,2,871564,61
2022,2022-10-09,Clermont Foot,Auxerre,0,0,2,1,871561,61
2022,2022-10-09,Stade Brestois 29,Lorient,1,1,1,2,871567,61
2022,2022-10-09,Rennes,Nantes,1,0,3,0,871568,61
2022,2022-10-09,Lille,Lens,1,0,1,0,871562,61
2022,2022-10-14,Strasbourg,Lille,0,1,0,3,871576,61
2022,2022-10-15,Lorient,Reims,0,0,0,0,871572,61
2022,2022-10-15,Lens,Montpellier,0,0,1,0,871575,61
2022,2022-10-16,Toulouse,Angers,2,1,3,2,871578,61
2022,2022-10-16,Nantes,Stade Brestois 29,2,1,4,1,871573,61
2022,2022-10-16,Rennes,Lyon,1,1,3,2,871577,61
2022,2022-10-16,Auxerre,Nice,1,1,1,1,871570,61
2022,2022-10-16,Estac Troyes,Ajaccio,0,0,1,1,871579,61
2022,2022-10-16,Monaco,Clermont Foot,1,0,1,1,871571,61
2022,2022-10-16,Paris Saint Germain,Marseille,1,0,1,0,871574,61
2022,2022-10-21,Ajaccio,Paris Saint Germain,0,1,0,3,871580,61
2022,2022-10-22,Montpellier,Lyon,0,1,1,2,871584,61
2022,2022-10-22,Marseille,Lens,0,0,0,1,871586,61
2022,2022-10-23,Angers,Rennes,0,1,1,2,871581,61
2022,2022-10-23,Reims,Auxerre,1,1,2,1,871587,61
2022,2022-10-23,Toulouse,Strasbourg,1,0,2,2,871588,61
2022,2022-10-23,Clermont Foot,Stade Brestois 29,0,1,1,3,871582,61
2022,2022-10-23,Estac Troyes,Lorient,1,0,2,2,871589,61
