season,date,home,away,ht_home,ht_away,ft_home,ft_away,fixture_id,league_id,home_shots,home_sot,away_shots,away_sot,home_xg_est,away_xg_est
2024,2024-08-10,Maritimo,Tondela,1.0,2.0,2.0,2.0,1231431,95,12.0,,11.0,,0.36,0.33
2024,2024-08-10,Mafra,Pacos Ferreira,0.0,1.0,0.0,1.0,1231428,95,12.0,,6.0,,0.36,0.18
2024,2024-08-10,Leixoes,Benfica B,1.0,1.0,2.0,1.0,1231423,95,16.0,,8.0,,0.48,0.24
2024,2024-08-10,Academico Viseu,Chaves,2.0,0.0,2.0,1.0,1231425,95,10.0,,16.0,,0.3,0.48
2024,2024-08-11,Penafiel,Oliveirense,2.0,3.0,4.0,3.0,1231424,95,11.0,,11.0,,0.33,0.33
2024,2024-08-11,Torreense,Feirense,0.0,0.0,0.0,1.0,1231427,95,13.0,,20.0,,0.39,0.6
2024,2024-08-11,FC Porto B,Alverca,0.0,1.0,1.0,1.0,1231426,95,13.0,,13.0,,0.39,0.39
2024,2024-08-11,União de Leiria,Vizela,0.0,1.0,0.0,2.0,1231429,95,9.0,,14.0,,0.27,0.42
2024,2024-08-12,Felgueiras 1932,Portimonense,0.0,0.0,0.0,0.0,1231430,95,18.0,,4.0,,0.54,0.12
2024,2024-08-17,Alverca,Felgueiras 1932,0.0,0.0,1.0,1.0,1231437,95,,,,,,
2024,2024-08-17,Oliveirense,Mafra,0.0,0.0,0.0,0.0,1231438,95,,,,,,
2024,2024-08-17,Portimonense,União de Leiria,0.0,1.0,0.0,3.0,1231434,95,,,,,,
2024,2024-08-18,Pacos Ferreira,Maritimo,1.0,1.0,1.0,2.0,1231433,95,,,,,,
2024,2024-08-18,Feirense,Academico Viseu,2.0,1.0,2.0,2.0,1231440,95,,,,,,
2024,2024-08-18,Vizela,Penafiel,0.0,1.0,1.0,2.0,1231435,95,,,,,,
2024,2024-08-18,Chaves,Leixoes,0.0,0.0,0.0,0.0,1231436,95,,,,,,
2024,2024-08-18,Benfica B,Torreense,1.0,0.0,2.0,0.0,1231439,95,,,,,,
2024,2024-08-19,Tondela,FC Porto B,1.0,0.0,2.0,2.0,1231432,95,9.0,,13.0,,0.27,0.39
2024,2024-08-23,União de Leiria,Alverca,0.0,0.0,1.0,1.0,1231443,95,,,,,,
2024,2024-08-24,Felgueiras 1932,Feirense,0.0,0.0,0.0,0.0,1231441,95,,,,,,
2024,2024-08-24,Torreense,Oliveirense,1.0,0.0,3.0,0.0,1231444,95,,,,,,
2024,2024-08-24,Leixoes,Pacos Ferreira,2.0,2.0,3.0,3.0,1231449,95,,,,,,
2024,2024-08-25,Academico Viseu,FC Porto B,2.0,0.0,2.0,0.0,1231448,95,,,,,,
2024,2024-08-25,Penafiel,Tondela,2.0,2.0,2.0,2.0,1231447,95,2.0,,2.0,,0.06,0.06
2024,2024-08-25,Maritimo,Chaves,0.0,0.0,1.0,1.0,1231442,95,,,,,,
2024,2024-08-25,Benfica B,Vizela,0.0,0.0,1.0,0.0,1231446,95,,,,,,
2024,2024-08-25,Mafra,Portimonense,0.0,0.0,2.0,2.0,1231445,95,,,,,,
2024,2024-08-30,Alverca,Academico Viseu,0.0,3.0,0.0,4.0,1231456,95,0.0,,4.0,,0.0,0.12
2024,2024-08-31,Oliveirense,Leixoes,0.0,1.0,0.0,1.0,1231454,95,0.0,,1.0,,0.0,0.03
2024,2024-08-31,Tondela,Felgueiras 1932,0.0,0.0,1.0,1.0,1231458,95,1.0,,1.0,,0.03,0.03
2024,2024-08-31,Vizela,Torreense,0.0,1.0,1.0,2.0,1231451,95,0.0,,0.0,,0.0,0.0
2024,2024-09-01,Portimonense,Maritimo,3.0,0.0,5.0,1.0,1231450,95,5.0,,1.0,,0.15,0.03
2024,2024-09-01,Feirense,Benfica B,1.0,2.0,2.0,3.0,1231452,95,2.0,,3.0,,0.06,0.09
2024,2024-09-01,Pacos Ferreira,Penafiel,1.0,1.0,1.0,3.0,1231455,95,1.0,,2.0,,0.03,0.06
2024,2024-09-01,Chaves,Mafra,0.0,1.0,0.0,3.0,1231457,95,0.0,,3.0,,0.0,0.09
2024,2024-09-01,FC Porto B,União de Leiria,1.0,1.0,1.0,1.0,1231453,95,1.0,,1.0,,0.03,0.03
2024,2024-09-13,Torreense,Portimonense,1.0,0.0,3.0,2.0,1231461,95,,,,,,
2024,2024-09-14,Felgueiras 1932,Chaves,1.0,1.0,1.0,2.0,1231460,95,,,,,,
2024,2024-09-14,Academico Viseu,União de Leiria,0.0,0.0,0.0,1.0,1231466,95,,,,,,
2024,2024-09-15,Maritimo,Alverca,0.0,2.0,1.0,2.0,1231459,95,,,,,,
2024,2024-09-15,Mafra,Tondela,0.0,1.0,0.0,4.0,1231465,95,,,,,,
2024,2024-09-15,Penafiel,FC Porto B,0.0,1.0,1.0,1.0,1231467,95,0.0,,1.0,,0.0,0.03
2024,2024-09-15,Benfica B,Oliveirense,2.0,1.0,2.0,2.0,1231462,95,,,,,,
2024,2024-09-15,Leixoes,Vizela,0.0,0.0,0.0,1.0,1231464,95,,,,,,
2024,2024-09-16,Feirense,Pacos Ferreira,2.0,0.0,2.0,0.0,1231463,95,,,,,,
2024,2024-09-28,Chaves,Torreense,0.0,1.0,2.0,1.0,1231474,95,,,,,,
2024,2024-09-28,Pacos Ferreira,Benfica B,0.0,1.0,0.0,3.0,1231471,95,,,,,,
2024,2024-09-28,Portimonense,Penafiel,0.0,1.0,0.0,2.0,1231470,95,,,,,,
2024,2024-09-28,Tondela,Academico Viseu,3.0,1.0,4.0,1.0,1231473,95,,,,,,
2024,2024-09-29,Oliveirense,Feirense,0.0,0.0,1.0,0.0,1231472,95,,,,,,
2024,2024-09-29,FC Porto B,Felgueiras 1932,0.0,0.0,0.0,2.0,1231469,95,,,,,,
2024,2024-09-29,Alverca,Leixoes,1.0,0.0,1.0,1.0,1231475,95,,,,,,
2024,2024-09-29,União de Leiria,Maritimo,0.0,1.0,1.0,1.0,1231476,95,,,,,,
2024,2024-09-30,Vizela,Mafra,1.0,0.0,3.0,0.0,1231468,95,13.0,,2.0,,0.39,0.06
2024,2024-10-04,Torreense,Tondela,0.0,1.0,0.0,2.0,1231479,95,,,,,,
2024,2024-10-05,Felgueiras 1932,Academico Viseu,0.0,1.0,1.0,1.0,1231477,95,17.0,,8.0,,0.51,0.24
2024,2024-10-05,Maritimo,FC Porto B,1.0,0.0,1.0,0.0,1231485,95,7.0,,12.0,,0.21,0.36
2024,2024-10-05,Oliveirense,Pacos Ferreira,0.0,2.0,0.0,2.0,1231481,95,15.0,,16.0,,0.45,0.48
2024,2024-10-05,Leixoes,Portimonense,3.0,0.0,3.0,0.0,1231483,95,8.0,,10.0,,0.24,0.3
