season,date,home,away,ht_home,ht_away,ft_home,ft_away
2024,2024-07-19,Neuchatel Xamax FC,Stade Lausanne-Ouchy,2,1,3,2
2024,2024-07-19,FC Schaffhausen,Étoile Carouge,1,2,2,3
2024,2024-07-19,FC Aarau,FC Thun,0,2,1,3
2024,2024-07-20,Bellinzona,FC WIL 1900,1,1,2,1
2024,2024-07-21,FC Vaduz,Stade Nyonnais,0,0,0,0
2024,2024-07-26,Stade Lausanne-Ouchy,FC Schaffhausen,0,1,0,1
2024,2024-07-26,Stade Nyonnais,Bellinzona,0,1,2,1
2024,2024-07-26,FC WIL 1900,FC Aarau,2,0,2,2
2024,2024-07-26,Étoile Carouge,Neuchatel Xamax FC,3,0,3,1
2024,2024-07-28,FC Thun,FC Vaduz,0,0,2,0
2024,2024-08-02,Stade Nyonnais,FC Schaffhausen,0,1,0,3
2024,2024-08-02,FC Thun,Stade Lausanne-Ouchy,1,0,1,1
2024,2024-08-03,FC Aarau,Neuchatel Xamax FC,1,0,1,3
2024,2024-08-03,Bellinzona,Étoile Carouge,1,0,1,1
2024,2024-08-04,FC Vaduz,FC WIL 1900,0,1,3,2
2024,2024-08-09,Stade Lausanne-Ouchy,FC Aarau,1,1,1,1
2024,2024-08-09,Neuchatel Xamax FC,Bellinzona,2,1,2,2
2024,2024-08-09,Étoile Carouge,FC Thun,0,2,0,2
2024,2024-08-10,FC WIL 1900,Stade Nyonnais,0,2,0,3
2024,2024-08-11,FC Schaffhausen,FC Vaduz,0,1,1,1
2024,2024-08-23,FC WIL 1900,Neuchatel Xamax FC,1,0,4,0
2024,2024-08-24,FC Aarau,Étoile Carouge,1,0,1,0
2024,2024-08-24,Bellinzona,FC Schaffhausen,2,0,2,1
2024,2024-08-25,FC Vaduz,Stade Lausanne-Ouchy,2,0,3,1
2024,2024-08-25,FC Thun,Stade Nyonnais,1,1,4,2
2024,2024-08-30,Neuchatel Xamax FC,FC Vaduz,1,1,4,1
2024,2024-08-30,Stade Nyonnais,Stade Lausanne-Ouchy,0,2,0,3
2024,2024-08-30,FC Schaffhausen,FC Thun,2,1,2,2
2024,2024-08-30,Étoile Carouge,FC WIL 1900,1,0,3,1
2024,2024-08-31,FC Aarau,Bellinzona,1,1,1,2
2024,2024-09-20,FC Schaffhausen,Neuchatel Xamax FC,1,0,1,2
2024,2024-09-20,Stade Lausanne-Ouchy,FC WIL 1900,0,0,0,0
2024,2024-09-20,Stade Nyonnais,Étoile Carouge,1,2,2,4
2024,2024-09-20,FC Vaduz,FC Aarau,2,3,2,5
2024,2024-09-20,FC Thun,Bellinzona,0,0,1,2
2024,2024-09-23,Neuchatel Xamax FC,Stade Nyonnais,0,1,3,2
2024,2024-09-23,FC WIL 1900,FC Thun,0,0,0,0
2024,2024-09-23,FC Aarau,FC Schaffhausen,1,1,1,2
2024,2024-09-24,Bellinzona,Stade Lausanne-Ouchy,1,0,2,1
