season,date,home,away,ht_home,ht_away,ft_home,ft_away,fixture_id,league_id,home_shots,home_sot,away_shots,away_sot,home_xg_est,away_xg_est
2024,2024-03-31,ODD Ballklubb,Haugesund,0.0,1.0,1.0,2.0,1164320,103,20.0,,8.0,,0.6,0.24
2024,2024-04-01,Fredrikstad,Bodo/Glimt,0.0,0.0,0.0,2.0,1164321,103,7.0,,13.0,,0.21,0.39
2024,2024-04-01,Lillestrom,Kristiansund BK,0.0,1.0,2.0,3.0,1164324,103,12.0,,9.0,,0.36,0.27
2024,2024-04-01,Tromso,Brann,0.0,2.0,2.0,4.0,1164323,103,13.0,,22.0,,0.39,0.66
2024,2024-04-01,Molde,Stromsgodset,1.0,0.0,4.0,0.0,1164322,103,19.0,,10.0,,0.57,0.3
2024,2024-04-01,Rosenborg,Sandefjord,0.0,0.0,2.0,0.0,1164325,103,10.0,,12.0,,0.3,0.36
2024,2024-04-01,Viking,Sarpsborg 08 FF,1.0,0.0,1.0,0.0,1164326,103,22.0,,14.0,,0.66,0.42
2024,2024-04-02,KFUM Oslo,Ham-Kam,0.0,1.0,1.0,1.0,1164327,103,18.0,,9.0,,0.54,0.27
2024,2024-04-06,Bodo/Glimt,Viking,0.0,0.0,1.0,0.0,1164328,103,15.0,,12.0,,0.45,0.36
2024,2024-04-07,Kristiansund BK,KFUM Oslo,1.0,1.0,1.0,1.0,1164329,103,7.0,,9.0,,0.21,0.27
2024,2024-04-07,Stromsgodset,Rosenborg,0.0,0.0,1.0,0.0,1164332,103,10.0,,17.0,,0.3,0.51
2024,2024-04-07,Haugesund,Lillestrom,0.0,2.0,0.0,2.0,1164333,103,3.0,,15.0,,0.09,0.45
2024,2024-04-07,Sarpsborg 08 FF,ODD Ballklubb,0.0,1.0,0.0,1.0,1164331,103,15.0,,17.0,,0.45,0.51
2024,2024-04-07,Ham-Kam,Molde,0.0,1.0,0.0,1.0,1164330,103,9.0,,12.0,,0.27,0.36
2024,2024-04-07,Brann,Fredrikstad,0.0,1.0,0.0,2.0,1164335,103,21.0,,5.0,,0.63,0.15
2024,2024-04-13,Fredrikstad,Sarpsborg 08 FF,0.0,1.0,2.0,2.0,1164336,103,18.0,,5.0,,0.54,0.15
2024,2024-04-14,Viking,Brann,1.0,0.0,1.0,1.0,1164337,103,7.0,,23.0,,0.21,0.69
2024,2024-04-14,Tromso,Haugesund,0.0,1.0,0.0,1.0,1164338,103,18.0,,8.0,,0.54,0.24
2024,2024-04-14,Molde,Kristiansund BK,1.0,0.0,2.0,0.0,1164339,103,14.0,,5.0,,0.42,0.15
2024,2024-04-14,ODD Ballklubb,Sandefjord,1.0,1.0,2.0,2.0,1164340,103,7.0,,13.0,,0.21,0.39
2024,2024-04-14,Rosenborg,Ham-Kam,1.0,0.0,1.0,0.0,1164341,103,11.0,,11.0,,0.33,0.33
2024,2024-04-14,Lillestrom,Bodo/Glimt,0.0,1.0,0.0,5.0,1164342,103,8.0,,14.0,,0.24,0.42
2024,2024-04-16,KFUM Oslo,Stromsgodset,0.0,2.0,1.0,3.0,1164343,103,20.0,,14.0,,0.6,0.42
2024,2024-04-17,Brann,Ham-Kam,0.0,0.0,1.0,0.0,1164440,103,22.0,,10.0,,0.66,0.3
2024,2024-04-17,Molde,ODD Ballklubb,1.0,1.0,1.0,2.0,1164449,103,17.0,,3.0,,0.51,0.09
2024,2024-04-21,Ham-Kam,Stromsgodset,0.0,1.0,0.0,1.0,1164344,103,22.0,,9.0,,0.66,0.27
2024,2024-04-21,Brann,ODD Ballklubb,1.0,0.0,2.0,0.0,1164347,103,14.0,,6.0,,0.42,0.18
2024,2024-04-21,Kristiansund BK,Tromso,1.0,0.0,1.0,0.0,1164350,103,19.0,,8.0,,0.57,0.24
2024,2024-04-21,Haugesund,Rosenborg,0.0,2.0,1.0,3.0,1164349,103,21.0,,9.0,,0.63,0.27
2024,2024-04-21,Sandefjord,Lillestrom,0.0,0.0,0.0,1.0,1164345,103,9.0,,8.0,,0.27,0.24
2024,2024-04-21,Sarpsborg 08 FF,KFUM Oslo,0.0,2.0,0.0,2.0,1164346,103,11.0,,7.0,,0.33,0.21
2024,2024-04-21,Viking,Fredrikstad,1.0,1.0,1.0,1.0,1164348,103,15.0,,11.0,,0.45,0.33
2024,2024-04-21,Bodo/Glimt,Molde,1.0,0.0,1.0,1.0,1164351,103,9.0,,3.0,,0.27,0.09
2024,2024-04-27,Rosenborg,Bodo/Glimt,0.0,2.0,1.0,3.0,1164352,103,8.0,,12.0,,0.24,0.36
