season,date,home,away,ht_home,ht_away,ft_home,ft_away
2024,2024-08-09,Sporting CP,Rio Ave,2,0,3,1
2024,2024-08-10,AVS,Nacional,0,1,1,1
2024,2024-08-10,Casa Pia,Boavista,0,0,0,1
2024,2024-08-10,FC Porto,GIL Vicente,1,0,3,0
2024,2024-08-11,Estoril,Santa Clara,1,1,1,4
2024,2024-08-11,Farense,Moreirense,0,1,1,2
2024,2024-08-11,Famalicao,Benfica,1,0,2,0
2024,2024-08-11,SC Braga,Estrela,0,0,1,1
2024,2024-08-12,Arouca,Guimaraes,0,1,0,1
2024,2024-08-16,Santa Clara,FC Porto,0,2,0,2
2024,2024-08-16,GIL Vicente,AVS,2,2,4,2
2024,2024-08-17,Rio Ave,Farense,1,0,1,0
2024,2024-08-17,Nacional,Sporting CP,1,2,1,6
2024,2024-08-17,Benfica,Casa Pia,0,0,3,0
2024,2024-08-18,Moreirense,Arouca,2,1,3,1
2024,2024-08-18,Guimaraes,Estoril,1,0,1,0
2024,2024-08-18,Boavista,SC Braga,0,1,0,1
2024,2024-08-19,Estrela,Famalicao,0,1,0,3
2024,2024-08-23,Farense,Sporting CP,0,2,0,5
2024,2024-08-24,Casa Pia,Santa Clara,0,0,0,2
2024,2024-08-24,FC Porto,Rio Ave,2,0,2,0
2024,2024-08-24,Benfica,Estrela,1,0,1,0
2024,2024-08-24,Famalicao,Boavista,1,0,1,0
2024,2024-08-25,Arouca,Nacional,1,0,1,0
2024,2024-08-25,Estoril,GIL Vicente,0,0,0,0
2024,2024-08-25,SC Braga,Moreirense,1,0,3,1
2024,2024-08-25,AVS,Guimaraes,0,0,1,0
2024,2024-08-30,Moreirense,Benfica,0,0,1,1
2024,2024-08-31,Santa Clara,AVS,1,1,2,1
2024,2024-08-31,Boavista,Estoril,0,0,0,0
2024,2024-08-31,Estrela,Casa Pia,0,0,0,1
2024,2024-08-31,Sporting CP,FC Porto,0,0,2,0
2024,2024-09-01,Nacional,Farense,1,0,2,0
2024,2024-09-01,Rio Ave,Arouca,1,0,1,0
2024,2024-09-01,Guimaraes,Famalicao,1,1,2,1
2024,2024-09-01,GIL Vicente,SC Braga,0,0,0,0
2024,2024-09-13,Arouca,Sporting CP,0,1,0,3
2024,2024-09-14,Casa Pia,Moreirense,0,1,3,1
2024,2024-09-14,AVS,Rio Ave,0,0,1,0
2024,2024-09-14,Benfica,Santa Clara,2,1,4,1
2024,2024-09-14,Famalicao,GIL Vicente,1,0,1,1
2024,2024-09-15,FC Porto,Farense,0,0,2,1
2024,2024-09-15,Estoril,Nacional,1,0,1,0
2024,2024-09-15,SC Braga,Guimaraes,0,0,0,2
2024,2024-09-16,Estrela,Boavista,1,2,2,2
2024,2024-09-20,Nacional,SC Braga,0,0,0,3
2024,2024-09-21,Rio Ave,Estoril,1,0,2,2
2024,2024-09-21,Santa Clara,Estrela,0,0,1,0
2024,2024-09-21,Guimaraes,FC Porto,0,0,0,3
2024,2024-09-21,Moreirense,Famalicao,0,0,0,0
