season,date,home,away,ht_home,ht_away,ft_home,ft_away,fixture_id,league_id
2024,2024-07-19,Vendsyssel FF,Roskilde,0.0,0.0,3.0,0.0,1209322,120
2024,2024-07-19,Hvidovre,HB Koge,0.0,0.0,1.0,0.0,1209321,120
2024,2024-07-19,B 93,Kolding IF,0.0,0.0,0.0,0.0,1209320,120
2024,2024-07-20,Esbjerg,Odense,0.0,1.0,1.0,2.0,1209323,120
2024,2024-07-21,AC Horsens,FC Fredericia,1.0,0.0,1.0,3.0,1209324,120
2024,2024-07-21,Hillerød,Hobro,1.0,1.0,2.0,2.0,1209325,120
2024,2024-07-26,AC Horsens,Hillerød,0.0,0.0,3.0,2.0,1209328,120
2024,2024-07-26,Hobro,Esbjerg,1.0,3.0,3.0,6.0,1209327,120
2024,2024-07-26,HB Koge,Odense,0.0,2.0,0.0,4.0,1209326,120
2024,2024-07-26,Kolding IF,Hvidovre,0.0,0.0,0.0,0.0,1209329,120
2024,2024-07-27,Roskilde,B 93,1.0,2.0,1.0,2.0,1209330,120
2024,2024-07-27,FC Fredericia,Vendsyssel FF,2.0,1.0,4.0,2.0,1209331,120
2024,2024-08-02,Hobro,HB Koge,2.0,1.0,2.0,1.0,1209333,120
2024,2024-08-02,Kolding IF,FC Fredericia,0.0,0.0,1.0,0.0,1209334,120
2024,2024-08-02,B 93,Vendsyssel FF,0.0,1.0,1.0,2.0,1209332,120
2024,2024-08-02,Hillerød,Roskilde,1.0,0.0,2.0,0.0,1209335,120
2024,2024-08-03,Odense,Hvidovre,1.0,0.0,2.0,0.0,1209336,120
2024,2024-08-04,Esbjerg,AC Horsens,0.0,1.0,0.0,1.0,1209337,120
2024,2024-08-09,Hvidovre,B 93,1.0,0.0,4.0,0.0,1209338,120
2024,2024-08-10,Vendsyssel FF,Kolding IF,1.0,1.0,2.0,1.0,1209340,120
2024,2024-08-10,Roskilde,Hobro,0.0,1.0,0.0,2.0,1209339,120
2024,2024-08-10,Odense,Hillerød,0.0,0.0,1.0,0.0,1209341,120
2024,2024-08-11,HB Koge,AC Horsens,0.0,0.0,0.0,2.0,1209342,120
2024,2024-08-11,FC Fredericia,Esbjerg,4.0,0.0,4.0,0.0,1209343,120
2024,2024-08-16,AC Horsens,Kolding IF,0.0,1.0,0.0,1.0,1209344,120
2024,2024-08-16,FC Fredericia,Roskilde,3.0,1.0,3.0,2.0,1209347,120
2024,2024-08-16,B 93,Odense,0.0,3.0,1.0,3.0,1209345,120
2024,2024-08-16,Hillerød,HB Koge,2.0,1.0,4.0,2.0,1209346,120
2024,2024-08-17,Hobro,Hvidovre,0.0,0.0,1.0,1.0,1209348,120
2024,2024-08-17,Esbjerg,Vendsyssel FF,1.0,1.0,3.0,1.0,1209349,120
2024,2024-08-20,Roskilde,AC Horsens,0.0,0.0,1.0,2.0,1209350,120
2024,2024-08-20,HB Koge,B 93,0.0,1.0,0.0,4.0,1209351,120
2024,2024-08-20,Hvidovre,Hillerød,0.0,0.0,0.0,0.0,1209352,120
2024,2024-08-21,Odense,FC Fredericia,2.0,0.0,3.0,0.0,1209354,120
2024,2024-08-21,Kolding IF,Esbjerg,0.0,1.0,1.0,2.0,1209353,120
