season,date,home,away,ht_home,ht_away,ft_home,ft_away,fixture_id,league_id
2023,2023-08-18,Volos NFC,Lamia,0.0,0.0,2,2,1073486,197
2023,2023-08-20,OFI,Aris Thessalonikis,2.0,1.0,3,2,1073488,197
2023,2023-08-20,PAOK,Asteras Tripolis,1.0,0.0,3,0,1073490,197
2023,2023-08-20,PAS Giannina,Kifisia,1.0,0.0,3,0,1073491,197
2023,2023-08-20,Olympiakos Piraeus,Panserraikos,0.0,0.0,2,0,1073487,197
2023,2023-08-25,Panetolikos,PAS Giannina,0.0,0.0,0,0,1073496,197
2023,2023-08-26,Panathinaikos,Volos NFC,2.0,0.0,3,0,1073495,197
2023,2023-08-26,Asteras Tripolis,OFI,2.0,0.0,3,0,1073493,197
2023,2023-08-26,AEK Athens FC,Panserraikos,0.0,1.0,1,1,1073492,197
2023,2023-08-27,Lamia,Aris Thessalonikis,1.0,0.0,1,0,1073498,197
2023,2023-08-27,PAOK,Kifisia,1.0,0.0,2,1,1073497,197
2023,2023-08-27,Olympiakos Piraeus,Atromitos,2.0,0.0,4,0,1073586,197
2023,2023-09-01,Kifisia,Atromitos,1.0,0.0,2,1,1073501,197
2023,2023-09-02,Panserraikos,Panetolikos,1.0,0.0,1,1,1073504,197
2023,2023-09-03,Olympiakos Piraeus,Lamia,2.0,0.0,4,0,1073502,197
2023,2023-09-03,Aris Thessalonikis,Asteras Tripolis,1.0,1.0,3,2,1073499,197
2023,2023-09-03,OFI,PAOK,0.0,0.0,1,0,1073503,197
2023,2023-09-03,Volos NFC,AEK Athens FC,1.0,2.0,2,3,1073500,197
2023,2023-09-03,PAS Giannina,Panathinaikos,0.0,0.0,0,1,1073505,197
2023,2023-09-16,Lamia,OFI,0.0,1.0,2,2,1073512,197
2023,2023-09-16,Panetolikos,Panathinaikos,0.0,2.0,0,5,1073510,197
2023,2023-09-17,Asteras Tripolis,PAS Giannina,2.0,2.0,2,2,1073507,197
2023,2023-09-17,Kifisia,Panserraikos,0.0,3.0,4,4,1073509,197
2023,2023-09-17,PAOK,Aris Thessalonikis,0.0,0.0,0,0,1073511,197
2023,2023-09-17,AEK Athens FC,Olympiakos Piraeus,1.0,1.0,1,1,1073506,197
2023,2023-09-18,Atromitos,Volos NFC,1.0,0.0,1,1,1073508,197
2023,2023-09-23,OFI,Atromitos,1.0,0.0,1,1,1073516,197
2023,2023-09-23,Panserraikos,Lamia,0.0,0.0,2,0,1073518,197
2023,2023-09-24,Olympiakos Piraeus,Kifisia,2.0,0.0,4,0,1073515,197
2023,2023-09-24,Aris Thessalonikis,Panetolikos,1.0,0.0,3,0,1073513,197
2023,2023-09-24,Volos NFC,Asteras Tripolis,0.0,2.0,1,2,1073514,197
2023,2023-09-24,PAS Giannina,PAOK,1.0,2.0,1,3,1073519,197
2023,2023-09-25,Panathinaikos,AEK Athens FC,1.0,1.0,1,2,1073517,197
2023,2023-09-27,Panetolikos,OFI,1.0,1.0,1,1,1073524,197
2023,2023-09-27,Kifisia,Lamia,0.0,0.0,1,1,1073522,197
