season,date,home,away,ht_home,ht_away,ft_home,ft_away,fixture_id,league_id
2024,2024-08-09,Barnsley,Mansfield Town,1.0,2.0,1.0,2.0,1216395,41
2024,2024-08-10,Birmingham,Reading,0.0,1.0,1.0,1.0,1216396,41
2024,2024-08-10,Wigan,Charlton,0.0,0.0,0.0,1.0,1216405,41
2024,2024-08-10,Burton Albion,Lincoln,2.0,2.0,2.0,3.0,1216398,41
2024,2024-08-10,Bristol Rovers,Northampton,0.0,0.0,1.0,0.0,1216397,41
2024,2024-08-10,Peterborough,Huddersfield,0.0,2.0,0.0,2.0,1216402,41
2024,2024-08-10,Crawley Town,Blackpool,2.0,0.0,2.0,1.0,1216399,41
2024,2024-08-10,Exeter City,Rotherham,0.0,0.0,1.0,0.0,1216400,41
2024,2024-08-10,Stevenage,Shrewsbury,0.0,0.0,1.0,0.0,1216403,41
2024,2024-08-10,Leyton Orient,Bolton,1.0,1.0,1.0,2.0,1216401,41
2024,2024-08-10,Wrexham,Wycombe,2.0,0.0,3.0,2.0,1216406,41
2024,2024-08-10,Stockport County,Cambridge United,1.0,0.0,2.0,0.0,1216404,41
2024,2024-08-17,Charlton,Leyton Orient,0.0,0.0,1.0,0.0,1216410,41
2024,2024-08-17,Shrewsbury,Peterborough,1.0,1.0,1.0,4.0,1216417,41
2024,2024-08-17,Huddersfield,Stevenage,1.0,0.0,2.0,1.0,1216411,41
2024,2024-08-17,Reading,Wigan,1.0,0.0,2.0,0.0,1216415,41
2024,2024-08-17,Rotherham,Bristol Rovers,0.0,0.0,0.0,0.0,1216416,41
2024,2024-08-17,Northampton,Exeter City,0.0,1.0,2.0,1.0,1216414,41
2024,2024-08-17,Blackpool,Stockport County,0.0,0.0,0.0,3.0,1216407,41
2024,2024-08-17,Wycombe,Birmingham,1.0,1.0,2.0,3.0,1216418,41
2024,2024-08-17,Cambridge United,Crawley Town,0.0,0.0,0.0,1.0,1216409,41
2024,2024-08-17,Mansfield Town,Burton Albion,2.0,1.0,3.0,3.0,1216413,41
2024,2024-08-17,Lincoln,Barnsley,0.0,1.0,1.0,2.0,1216412,41
2024,2024-08-18,Bolton,Wrexham,0.0,0.0,0.0,0.0,1216408,41
2024,2024-08-24,Burton Albion,Stevenage,0.0,0.0,0.0,0.0,1216420,41
2024,2024-08-24,Stockport County,Bristol Rovers,1.0,0.0,2.0,0.0,1216427,41
2024,2024-08-24,Huddersfield,Shrewsbury,1.0,0.0,1.0,0.0,1216424,41
2024,2024-08-24,Wigan,Crawley Town,1.0,0.0,1.0,0.0,1216428,41
2024,2024-08-24,Barnsley,Northampton,1.0,0.0,2.0,2.0,1216419,41
2024,2024-08-24,Charlton,Bolton,1.0,0.0,2.0,0.0,1216422,41
2024,2024-08-24,Wycombe,Rotherham,0.0,0.0,2.0,0.0,1216430,41
2024,2024-08-24,Exeter City,Peterborough,1.0,2.0,1.0,2.0,1216423,41
2024,2024-08-24,Cambridge United,Blackpool,1.0,3.0,4.0,4.0,1216421,41
2024,2024-08-24,Leyton Orient,Birmingham,1.0,2.0,1.0,2.0,1216425,41
2024,2024-08-24,Lincoln,Mansfield Town,2.0,0.0,4.0,1.0,1216426,41
2024,2024-08-24,Wrexham,Reading,2.0,0.0,3.0,0.0,1216429,41
2024,2024-08-31,Rotherham,Huddersfield,0.0,0.0,2.0,1.0,1216440,41
2024,2024-08-31,Blackpool,Wycombe,1.0,1.0,2.0,2.0,1216432,41
2024,2024-08-31,Reading,Charlton,0.0,0.0,2.0,0.0,1216439,41
2024,2024-08-31,Birmingham,Wigan,1.0,0.0,2.0,1.0,1216431,41
2024,2024-08-31,Bolton,Exeter City,0.0,1.0,0.0,2.0,1216433,41
2024,2024-08-31,Bristol Rovers,Cambridge United,1.0,0.0,2.0,0.0,1216434,41
2024,2024-08-31,Northampton,Burton Albion,0.0,0.0,0.0,0.0,1216437,41
2024,2024-08-31,Peterborough,Wrexham,0.0,2.0,0.0,2.0,1216438,41
2024,2024-08-31,Shrewsbury,Leyton Orient,1.0,0.0,3.0,0.0,1216441,41
2024,2024-08-31,Crawley Town,Barnsley,0.0,3.0,0.0,3.0,1216435,41
2024,2024-08-31,Stevenage,Lincoln,0.0,0.0,0.0,1.0,1216442,41
2024,2024-08-31,Mansfield Town,Stockport County,1.0,1.0,1.0,1.0,1216436,41
2024,2024-09-07,Barnsley,Bristol Rovers,1.0,1.0,2.0,1.0,1216443,41
2024,2024-09-07,Charlton,Rotherham,0.0,0.0,1.0,1.0,1216446,41
2024,2024-09-07,Wrexham,Shrewsbury,2.0,0.0,3.0,0.0,1216453,41
2024,2024-09-14,Northampton,Wycombe,1.0,1.0,1.0,2.0,1216461,41
2024,2024-09-14,Mansfield Town,Cambridge United,1.0,0.0,2.0,1.0,1216460,41
2024,2024-09-14,Reading,Leyton Orient,0.0,1.0,0.0,1.0,1216463,41
2024,2024-09-14,Bolton,Huddersfield,0.0,1.0,0.0,4.0,1216457,41
2024,2024-09-14,Rotherham,Burton Albion,1.0,1.0,2.0,2.0,1216464,41
2024,2024-09-14,Bristol Rovers,Wigan,0.0,2.0,0.0,4.0,1216458,41
2024,2024-09-14,Peterborough,Lincoln,0.0,1.0,1.0,1.0,1216462,41
2024,2024-09-14,Shrewsbury,Charlton,0.0,0.0,0.0,1.0,1216465,41
2024,2024-09-14,Blackpool,Exeter City,1.0,0.0,2.0,1.0,1216456,41
2024,2024-09-14,Crawley Town,Stockport County,0.0,1.0,1.0,1.0,1216459,41
2024,2024-09-14,Stevenage,Barnsley,0.0,0.0,3.0,0.0,1216466,41
2024,2024-09-16,Birmingham,Wrexham,1.0,1.0,3.0,1.0,1216455,41
2024,2024-09-21,Exeter City,Stevenage,1.0,0.0,2.0,0.0,1216470,41
2024,2024-09-21,Lincoln,Wigan,0.0,0.0,0.0,0.0,1216472,41
2024,2024-09-21,Huddersfield,Northampton,0.0,2.0,1.0,3.0,1216471,41
2024,2024-09-21,Bolton,Reading,4.0,1.0,5.0,2.0,1216467,41
2024,2024-09-21,Rotherham,Birmingham,0.0,2.0,0.0,2.0,1216475,41
2024,2024-09-21,Burton Albion,Barnsley,0.0,1.0,1.0,2.0,1216468,41
2024,2024-09-21,Charlton,Blackpool,0.0,2.0,1.0,2.0,1216469,41
2024,2024-09-21,Peterborough,Bristol Rovers,2.0,0.0,3.0,2.0,1216474,41
2024,2024-09-21,Wycombe,Cambridge United,1.0,1.0,2.0,1.0,1216478,41
2024,2024-09-21,Mansfield Town,Shrewsbury,0.0,1.0,2.0,1.0,1216473,41
2024,2024-09-21,Wrexham,Crawley Town,1.0,0.0,2.0,1.0,1216477,41
2024,2024-09-21,Stockport County,Leyton Orient,0.0,2.0,1.0,4.0,1216476,41
2024,2024-09-24,Huddersfield,Blackpool,0.0,2.0,0.0,2.0,1216448,41
2024,2024-09-24,Wigan,Stevenage,0.0,0.0,0.0,0.0,1216452,41
2024,2024-09-24,Leyton Orient,Peterborough,1.0,2.0,2.0,2.0,1216449,41
2024,2024-09-28,Reading,Huddersfield,1.0,1.0,2.0,1.0,1216487,41
2024,2024-09-28,Crawley Town,Bolton,0.0,1.0,0.0,2.0,1216484,41
2024,2024-09-28,Birmingham,Peterborough,1.0,2.0,3.0,2.0,1216480,41
2024,2024-09-28,Wigan,Exeter City,0.0,0.0,0.0,0.0,1216490,41
2024,2024-09-28,Bristol Rovers,Wycombe,1.0,0.0,1.0,2.0,1216482,41
2024,2024-09-28,Northampton,Mansfield Town,0.0,0.0,0.0,2.0,1216486,41
2024,2024-09-28,Shrewsbury,Rotherham,1.0,0.0,1.0,1.0,1216488,41
2024,2024-09-28,Blackpool,Burton Albion,1.0,0.0,3.0,0.0,1216481,41
2024,2024-09-28,Stevenage,Charlton,0.0,0.0,1.0,0.0,1216489,41
2024,2024-09-28,Cambridge United,Lincoln,0.0,1.0,0.0,2.0,1216483,41
2024,2024-09-28,Leyton Orient,Wrexham,0.0,0.0,0.0,0.0,1216485,41
2024,2024-09-28,Barnsley,Stockport County,1.0,0.0,1.0,1.0,1216479,41
2024,2024-10-01,Birmingham,Huddersfield,0.0,0.0,1.0,0.0,1216492,41
2024,2024-10-01,Wigan,Peterborough,1.0,0.0,3.0,0.0,1216501,41
2024,2024-10-01,Barnsley,Wycombe,0.0,0.0,2.0,2.0,1216491,41
2024,2024-10-01,Bristol Rovers,Charlton,1.0,0.0,3.0,2.0,1216494,41
2024,2024-10-01,Northampton,Bolton,0.0,2.0,2.0,4.0,1216498,41
2024,2024-10-01,Shrewsbury,Stockport County,0.0,1.0,0.0,2.0,1216499,41
2024,2024-10-01,Blackpool,Lincoln,0.0,0.0,1.0,1.0,1216493,41
2024,2024-10-01,Crawley Town,Mansfield Town,0.0,1.0,0.0,2.0,1216496,41
2024,2024-10-01,Stevenage,Wrexham,1.0,0.0,1.0,0.0,1216500,41
2024,2024-10-01,Cambridge United,Rotherham,0.0,0.0,0.0,1.0,1216495,41
2024,2024-10-01,Leyton Orient,Exeter City,0.0,1.0,0.0,1.0,1216497,41
2024,2024-10-01,Reading,Burton Albion,2.0,0.0,3.0,1.0,1216502,41
2024,2024-10-05,Huddersfield,Barnsley,0.0,0.0,2.0,0.0,1216507,41
2024,2024-10-05,Peterborough,Stevenage,1.0,0.0,2.0,1.0,1216510,41
2024,2024-10-05,Bolton,Shrewsbury,0.0,2.0,2.0,2.0,1216503,41
2024,2024-10-05,Rotherham,Reading,0.0,1.0,2.0,1.0,1216511,41
2024,2024-10-05,Burton Albion,Bristol Rovers,1.0,0.0,1.0,3.0,1216504,41
2024,2024-10-05,Charlton,Birmingham,0.0,0.0,1.0,0.0,1216505,41
2024,2024-10-05,Wycombe,Crawley Town,1.0,0.0,1.0,0.0,1216514,41
2024,2024-10-05,Exeter City,Cambridge United,1.0,0.0,1.0,0.0,1216506,41
2024,2024-10-05,Mansfield Town,Blackpool,2.0,0.0,2.0,0.0,1216509,41
2024,2024-10-05,Lincoln,Leyton Orient,0.0,0.0,2.0,1.0,1216508,41
2024,2024-10-05,Wrexham,Northampton,2.0,1.0,4.0,1.0,1216513,41
2024,2024-10-05,Stockport County,Wigan,0.0,0.0,0.0,0.0,1216512,41
2024,2024-10-12,Peterborough,Rotherham,1.0,3.0,3.0,3.0,1216522,41
2024,2024-10-12,Crawley Town,Shrewsbury,1.0,1.0,3.0,5.0,1216519,41
2024,2024-10-17,Shrewsbury,Exeter City,0.0,1.0,0.0,2.0,1216537,41
2024,2024-10-19,Reading,Crawley Town,2.0,1.0,4.0,1.0,1216535,41
2024,2024-10-19,Wycombe,Peterborough,0.0,0.0,3.0,1.0,1216538,41
2024,2024-10-19,Huddersfield,Bristol Rovers,2.0,0.0,3.0,1.0,1216531,41
2024,2024-10-19,Bolton,Burton Albion,0.0,0.0,2.0,1.0,1216528,41
2024,2024-10-19,Rotherham,Wrexham,0.0,1.0,0.0,1.0,1216536,41
2024,2024-10-19,Charlton,Stockport County,0.0,1.0,1.0,1.0,1216530,41
2024,2024-10-19,Northampton,Leyton Orient,0.0,0.0,1.0,0.0,1216534,41
2024,2024-10-19,Blackpool,Barnsley,0.0,1.0,1.0,2.0,1216527,41
2024,2024-10-19,Cambridge United,Wigan,2.0,0.0,2.0,0.0,1216529,41
2024,2024-10-19,Mansfield Town,Stevenage,0.0,1.0,0.0,1.0,1216533,41
2024,2024-10-19,Lincoln,Birmingham,1.0,1.0,1.0,3.0,1216532,41
2024,2024-10-22,Birmingham,Bolton,1.0,0.0,2.0,0.0,1216540,41
2024,2024-10-22,Wigan,Mansfield Town,0.0,1.0,1.0,2.0,1216549,41
2024,2024-10-22,Barnsley,Charlton,1.0,0.0,2.0,2.0,1216539,41
2024,2024-10-22,Burton Albion,Wycombe,1.0,1.0,2.0,3.0,1216542,41
2024,2024-10-22,Bristol Rovers,Shrewsbury,0.0,0.0,1.0,0.0,1216541,41
2024,2024-10-22,Peterborough,Blackpool,3.0,1.0,5.0,1.0,1216546,41
2024,2024-10-22,Crawley Town,Lincoln,0.0,0.0,3.0,0.0,1216543,41
2024,2024-10-22,Exeter City,Reading,0.0,2.0,1.0,2.0,1216544,41
2024,2024-10-22,Stevenage,Cambridge United,0.0,1.0,0.0,2.0,1216547,41
2024,2024-10-22,Leyton Orient,Rotherham,0.0,0.0,1.0,0.0,1216545,41
2024,2024-10-22,Wrexham,Huddersfield,0.0,0.0,0.0,0.0,1216550,41
2024,2024-10-22,Stockport County,Northampton,0.0,0.0,1.0,1.0,1216548,41
2024,2024-10-26,Reading,Bristol Rovers,0.0,0.0,1.0,0.0,1216559,41
2024,2024-10-26,Mansfield Town,Birmingham,0.0,1.0,1.0,1.0,1216557,41
2024,2024-10-26,Huddersfield,Exeter City,1.0,0.0,2.0,0.0,1216555,41
