season,date,home,away,ht_home,ht_away,ft_home,ft_away
2024,2024-07-26,Club Brugge KV,KV Mechelen,0,0,1,1
2024,2024-07-27,Dender,Union St. Gilloise,0,0,0,0
2024,2024-07-27,Beerschot Wilrijk,OH Leuven,0,0,0,0
2024,2024-07-27,Anderlecht,St. Truiden,0,0,1,0
2024,2024-07-28,Genk,Standard Liege,0,0,0,0
2024,2024-07-28,Kortrijk,Gent,0,0,0,1
2024,2024-07-28,Charleroi,Antwerp,0,1,0,1
2024,2024-07-28,KVC Westerlo,Cercle Brugge,1,0,3,0
2024,2024-08-02,Union St. Gilloise,Beerschot Wilrijk,2,0,3,1
2024,2024-08-03,KV Mechelen,KVC Westerlo,0,2,2,4
2024,2024-08-03,OH Leuven,Genk,2,0,3,1
2024,2024-08-03,St. Truiden,Charleroi,0,4,1,4
2024,2024-08-04,Antwerp,Anderlecht,1,1,1,2
2024,2024-08-04,Cercle Brugge,Kortrijk,1,1,1,2
2024,2024-08-04,Standard Liege,Club Brugge KV,0,0,1,0
2024,2024-08-04,Gent,Dender,0,1,1,2
2024,2024-08-09,Standard Liege,KV Mechelen,0,0,0,0
2024,2024-08-10,Dender,Kortrijk,2,1,4,1
2024,2024-08-10,KVC Westerlo,Union St. Gilloise,3,1,4,3
2024,2024-08-10,Anderlecht,OH Leuven,1,1,1,1
2024,2024-08-11,Genk,Club Brugge KV,0,1,3,2
2024,2024-08-11,Antwerp,St. Truiden,2,0,6,1
2024,2024-08-11,Charleroi,Gent,0,0,1,0
2024,2024-08-11,Cercle Brugge,Beerschot Wilrijk,3,1,4,1
2024,2024-08-16,Union St. Gilloise,Charleroi,0,0,1,0
2024,2024-08-17,Beerschot Wilrijk,Genk,1,3,3,4
2024,2024-08-17,St. Truiden,Dender,2,1,3,3
2024,2024-08-17,KV Mechelen,Anderlecht,1,2,1,3
2024,2024-08-18,Club Brugge KV,Antwerp,0,0,1,0
2024,2024-08-18,OH Leuven,Cercle Brugge,1,1,1,1
2024,2024-08-18,Kortrijk,Standard Liege,0,0,1,0
2024,2024-08-18,Gent,KVC Westerlo,3,1,4,1
2024,2024-08-24,KVC Westerlo,OH Leuven,1,1,1,1
2024,2024-08-24,Antwerp,KV Mechelen,0,1,0,1
2024,2024-08-25,Dender,Club Brugge KV,1,2,1,2
2024,2024-08-25,St. Truiden,Union St. Gilloise,0,0,0,0
2024,2024-08-25,Standard Liege,Beerschot Wilrijk,0,0,1,0
2024,2024-08-25,Charleroi,Kortrijk,1,0,1,0
2024,2024-08-30,Genk,KVC Westerlo,0,0,1,0
2024,2024-08-31,KV Mechelen,Charleroi,3,2,5,2
2024,2024-08-31,Beerschot Wilrijk,Dender,0,2,1,2
2024,2024-08-31,OH Leuven,Standard Liege,1,0,2,0
2024,2024-09-01,Club Brugge KV,Cercle Brugge,2,0,3,0
2024,2024-09-01,Gent,Antwerp,1,1,1,1
2024,2024-09-01,Union St. Gilloise,Anderlecht,0,0,0,0
2024,2024-09-01,Kortrijk,St. Truiden,0,1,1,1
2024,2024-09-13,Dender,Standard Liege,0,1,0,2
2024,2024-09-14,Cercle Brugge,Genk,2,2,2,3
2024,2024-09-14,Kortrijk,Club Brugge KV,0,1,0,3
2024,2024-09-14,Anderlecht,KVC Westerlo,1,1,2,2
2024,2024-09-15,Antwerp,Union St. Gilloise,0,0,2,0
2024,2024-09-15,St. Truiden,OH Leuven,1,0,2,1
2024,2024-09-15,Charleroi,Beerschot Wilrijk,1,0,3,0
2024,2024-09-15,Gent,KV Mechelen,2,0,2,0
2024,2024-09-17,Anderlecht,Genk,0,1,0,2
2024,2024-09-20,Standard Liege,Union St. Gilloise,0,0,0,0
2024,2024-09-21,Beerschot Wilrijk,St. Truiden,0,1,0,3
2024,2024-09-21,KVC Westerlo,Antwerp,1,1,1,2
2024,2024-09-21,Anderlecht,Charleroi,0,0,0,0
2024,2024-09-22,Club Brugge KV,Gent,0,2,2,4
2024,2024-09-22,KV Mechelen,Cercle Brugge,1,0,2,0
2024,2024-09-22,Genk,Dender,1,0,4,0
2024,2024-09-22,OH Leuven,Kortrijk,0,0,1,1
2024,2024-09-26,Cercle Brugge,Gent,0,0,2,1
2024,2024-09-27,Charleroi,Club Brugge KV,0,0,1,1
2024,2024-09-28,Genk,KV Mechelen,0,0,2,1
2024,2024-09-28,Standard Liege,KVC Westerlo,0,1,1,2
2024,2024-09-28,Dender,Anderlecht,0,1,1,1
2024,2024-09-29,Antwerp,Beerschot Wilrijk,1,0,4,0
2024,2024-09-29,Union St. Gilloise,Kortrijk,1,0,3,0
2024,2024-09-29,Gent,OH Leuven,2,0,3,0
2024,2024-09-29,Cercle Brugge,St. Truiden,1,0,1,1
2024,2024-10-04,KVC Westerlo,Beerschot Wilrijk,0,1,2,2
2024,2024-10-05,KV Mechelen,OH Leuven,2,0,5,0
2024,2024-10-05,Kortrijk,Genk,2,1,2,1
2024,2024-10-05,Dender,Charleroi,1,0,1,0
2024,2024-10-06,Anderlecht,Standard Liege,2,0,3,0
2024,2024-10-06,Antwerp,Cercle Brugge,2,0,3,0
2024,2024-10-06,Club Brugge KV,Union St. Gilloise,0,0,1,1
2024,2024-10-06,St. Truiden,Gent,0,1,1,1
2024,2024-10-18,Beerschot Wilrijk,Anderlecht,1,0,2,1
2024,2024-10-19,KVC Westerlo,Club Brugge KV,1,2,1,2
2024,2024-10-19,Cercle Brugge,Dender,0,0,0,0
2024,2024-10-19,Union St. Gilloise,Gent,0,0,0,0
2024,2024-10-20,Genk,St. Truiden,3,1,3,2
2024,2024-10-20,OH Leuven,Antwerp,0,1,1,1
2024,2024-10-20,Standard Liege,Charleroi,2,0,2,1
2024,2024-10-20,KV Mechelen,Kortrijk,1,0,3,0
2024,2024-10-25,Kortrijk,Beerschot Wilrijk,0,0,1,0
2024,2024-10-26,Charleroi,OH Leuven,0,2,0,2
2024,2024-10-26,Dender,KV Mechelen,0,0,2,5
2024,2024-10-26,St. Truiden,KVC Westerlo,1,0,2,0
2024,2024-10-27,Club Brugge KV,Anderlecht,1,0,2,1
2024,2024-10-27,Antwerp,Standard Liege,1,0,3,0
2024,2024-10-27,Gent,Genk,0,0,0,2
2024,2024-10-27,Union St. Gilloise,Cercle Brugge,1,0,1,3
2024,2024-11-01,KVC Westerlo,Dender,1,0,2,0
2024,2024-11-02,Standard Liege,St. Truiden,2,0,2,1
2024,2024-11-02,OH Leuven,Club Brugge KV,0,0,0,1
2024,2024-11-02,KV Mechelen,Union St. Gilloise,0,1,1,1
2024,2024-11-03,Genk,Antwerp,1,0,2,0
2024,2024-11-03,Cercle Brugge,Charleroi,0,0,2,0
2024,2024-11-03,Anderlecht,Kortrijk,1,0,4,0
2024,2024-11-03,Beerschot Wilrijk,Gent,0,0,0,0
2024,2024-11-08,St. Truiden,KV Mechelen,1,0,2,1
2024,2024-11-09,Kortrijk,Antwerp,0,1,1,2
2024,2024-11-09,Dender,OH Leuven,1,1,1,1
2024,2024-11-09,Charleroi,KVC Westerlo,0,0,1,0
2024,2024-11-10,Cercle Brugge,Anderlecht,0,1,0,5
2024,2024-11-10,Gent,Standard Liege,2,0,5,0
2024,2024-11-10,Union St. Gilloise,Genk,2,0,4,0
2024,2024-11-10,Beerschot Wilrijk,Club Brugge KV,0,2,2,2
2024,2024-11-22,Antwerp,Dender,0,1,1,1
2024,2024-11-23,Club Brugge KV,St. Truiden,3,0,7,0
2024,2024-11-23,Standard Liege,Cercle Brugge,0,0,1,0
2024,2024-11-23,Genk,Charleroi,0,0,3,0
2024,2024-11-24,KV Mechelen,Beerschot Wilrijk,1,0,3,0
2024,2024-11-24,OH Leuven,Union St. Gilloise,1,1,1,1
2024,2024-11-24,Anderlecht,Gent,3,0,6,0
2024,2024-11-24,KVC Westerlo,Kortrijk,0,0,4,0
2024,2024-11-29,Kortrijk,KV Mechelen,2,0,3,1
2024,2024-11-30,Club Brugge KV,Dender,2,1,4,1
2024,2024-11-30,Charleroi,Standard Liege,0,1,1,1
2024,2024-12-01,St. Truiden,Genk,0,1,2,2
2024,2024-12-01,OH Leuven,Anderlecht,0,0,0,0
2024,2024-12-01,Beerschot Wilrijk,Cercle Brugge,0,2,3,2
2024,2024-12-01,Union St. Gilloise,Antwerp,1,1,2,1
2024,2024-12-01,KVC Westerlo,Gent,1,1,2,2
2024,2024-12-07,Genk,Kortrijk,1,1,3,2
2024,2024-12-07,KV Mechelen,Club Brugge KV,0,1,1,2
2024,2024-12-07,Standard Liege,OH Leuven,1,0,1,1
2024,2024-12-07,Gent,St. Truiden,1,0,2,0
2024,2024-12-08,Antwerp,Charleroi,0,1,1,3
2024,2024-12-08,Cercle Brugge,Union St. Gilloise,0,0,0,0
2024,2024-12-08,Anderlecht,Beerschot Wilrijk,1,1,2,1
2024,2024-12-08,Dender,KVC Westerlo,1,0,1,0
2024,2024-12-13,KV Mechelen,Antwerp,0,1,1,1
2024,2024-12-14,Beerschot Wilrijk,Standard Liege,0,0,0,0
2024,2024-12-14,OH Leuven,Charleroi,0,0,1,0
2024,2024-12-14,Kortrijk,Dender,0,3,0,3
2024,2024-12-15,Club Brugge KV,Genk,0,0,2,0
2024,2024-12-15,Union St. Gilloise,KVC Westerlo,2,0,3,1
2024,2024-12-15,St. Truiden,Anderlecht,0,1,0,2
2024,2024-12-15,Gent,Cercle Brugge,1,0,1,1
2024,2024-12-20,KVC Westerlo,KV Mechelen,0,1,1,1
2024,2024-12-21,Charleroi,St. Truiden,1,0,2,1
2024,2024-12-21,Dender,Antwerp,0,1,1,3
2024,2024-12-21,Beerschot Wilrijk,Kortrijk,0,0,2,2
2024,2024-12-22,Genk,Anderlecht,1,0,2,0
2024,2024-12-22,Standard Liege,Gent,0,0,0,1
2024,2024-12-22,Union St. Gilloise,Club Brugge KV,1,0,2,2
2024,2024-12-22,Cercle Brugge,OH Leuven,0,0,1,0
2024,2024-12-26,Antwerp,Genk,2,1,2,2
2024,2024-12-26,Club Brugge KV,KVC Westerlo,2,1,4,3
2024,2024-12-26,Kortrijk,Charleroi,0,1,0,1
2024,2024-12-26,KV Mechelen,Standard Liege,0,0,0,0
2024,2024-12-26,Gent,Union St. Gilloise,0,1,1,3
2024,2024-12-27,OH Leuven,Beerschot Wilrijk,0,0,2,0
2024,2024-12-27,Anderlecht,Dender,2,1,2,3
2024,2024-12-27,St. Truiden,Cercle Brugge,0,1,1,1
2024,2025-01-10,Standard Liege,Kortrijk,0,0,1,0
2024,2025-01-11,KVC Westerlo,St. Truiden,1,1,1,2
2024,2025-01-11,Genk,OH Leuven,0,0,2,0
2024,2025-01-11,Charleroi,Union St. Gilloise,1,0,1,2
2024,2025-01-12,Beerschot Wilrijk,Antwerp,1,0,1,1
2024,2025-01-12,Dender,Gent,0,0,0,0
2024,2025-01-12,Anderlecht,Club Brugge KV,0,2,0,3
2024,2025-01-12,Cercle Brugge,KV Mechelen,1,0,1,0
2024,2025-01-17,Gent,Charleroi,0,1,1,1
2024,2025-01-18,Dender,Cercle Brugge,0,1,0,1
2024,2025-01-18,KV Mechelen,Genk,1,2,1,2
