season,date,home,away,ht_home,ht_away,ft_home,ft_away
2024,2024-08-09,Glentoran,Crusaders FC,0,1,0,1
2024,2024-08-10,Ballymena United,Linfield,0,0,0,2
2024,2024-08-10,Carrick Rangers,Glenavon FC,2,0,2,0
2024,2024-08-10,Dungannon Swifts,Coleraine FC,1,0,1,1
2024,2024-08-11,Cliftonville FC,Portadown,1,0,1,0
2024,2024-08-16,Coleraine FC,Ballymena United,1,1,4,2
2024,2024-08-17,Linfield,Dungannon Swifts,3,0,3,1
2024,2024-08-17,Glenavon FC,Cliftonville FC,0,1,1,2
2024,2024-08-17,Loughgall,Carrick Rangers,2,0,3,0
2024,2024-08-17,Portadown,Glentoran,0,1,1,2
2024,2024-08-20,Ballymena United,Crusaders FC,0,1,0,1
2024,2024-08-20,Cliftonville FC,Dungannon Swifts,0,0,1,0
2024,2024-08-20,Glenavon FC,Linfield,0,3,0,3
2024,2024-08-20,Loughgall,Portadown,1,1,2,2
2024,2024-08-20,Glentoran,Coleraine FC,0,0,0,0
2024,2024-08-23,Carrick Rangers,Glentoran,1,2,2,3
2024,2024-08-24,Linfield,Loughgall,4,0,5,1
2024,2024-08-24,Coleraine FC,Glenavon FC,0,1,0,2
2024,2024-08-24,Crusaders FC,Cliftonville FC,1,1,1,1
2024,2024-08-24,Dungannon Swifts,Ballymena United,1,0,1,0
2024,2024-08-30,Ballymena United,Glenavon FC,2,1,3,1
2024,2024-08-30,Portadown,Linfield,1,1,2,2
2024,2024-08-31,Crusaders FC,Carrick Rangers,0,1,2,1
2024,2024-08-31,Loughgall,Dungannon Swifts,0,1,0,2
2024,2024-08-31,Glentoran,Cliftonville FC,1,0,1,0
2024,2024-09-01,Coleraine FC,Larne,1,0,1,1
2024,2024-09-07,Glenavon FC,Loughgall,0,0,2,2
2024,2024-09-07,Carrick Rangers,Portadown,0,0,0,1
2024,2024-09-07,Dungannon Swifts,Glentoran,1,0,1,0
2024,2024-09-07,Larne,Ballymena United,0,0,0,1
2024,2024-09-13,Portadown,Dungannon Swifts,0,1,2,1
2024,2024-09-14,Linfield,Larne,0,0,0,1
2024,2024-09-14,Ballymena United,Glentoran,0,0,1,0
2024,2024-09-14,Coleraine FC,Carrick Rangers,1,1,3,1
2024,2024-09-14,Crusaders FC,Glenavon FC,0,1,0,1
2024,2024-09-14,Loughgall,Cliftonville FC,0,3,1,5
2024,2024-09-17,Cliftonville FC,Linfield,0,0,0,0
2024,2024-09-17,Glenavon FC,Larne,0,0,0,0
2024,2024-09-17,Portadown,Coleraine FC,0,1,2,2
2024,2024-09-17,Carrick Rangers,Ballymena United,0,2,1,4
2024,2024-09-17,Dungannon Swifts,Crusaders FC,1,0,1,0
2024,2024-09-17,Glentoran,Loughgall,1,0,2,0
2024,2024-09-20,Larne,Glentoran,1,0,2,0
2024,2024-09-21,Linfield,Carrick Rangers,0,0,1,0
2024,2024-09-21,Ballymena United,Cliftonville FC,1,1,3,2
2024,2024-09-21,Coleraine FC,Loughgall,1,0,2,0
2024,2024-09-21,Crusaders FC,Portadown,0,1,0,3
2024,2024-09-21,Glenavon FC,Dungannon Swifts,0,1,1,1
2024,2024-09-24,Larne,Loughgall,1,0,2,0
2024,2024-09-27,Cliftonville FC,Larne,1,0,1,3
2024,2024-09-28,Coleraine FC,Linfield,0,3,0,3
2024,2024-09-28,Loughgall,Crusaders FC,0,0,0,4
2024,2024-09-28,Portadown,Ballymena United,0,1,0,1
2024,2024-09-28,Dungannon Swifts,Carrick Rangers,2,0,4,0
2024,2024-09-28,Glentoran,Glenavon FC,0,0,0,0
2024,2024-10-04,Linfield,Glentoran,1,0,1,3
2024,2024-10-05,Ballymena United,Loughgall,3,1,4,1
2024,2024-10-05,Crusaders FC,Coleraine FC,1,1,2,1
