season,date,home,away,ht_home,ht_away,ft_home,ft_away
2024,2024-04-13,Internacional,Bahia,0,0,2,1
2024,2024-04-13,Criciuma,Juventude,1,0,1,1
2024,2024-04-14,Fluminense,RB Bragantino,1,0,2,2
2024,2024-04-14,Sao Paulo,Fortaleza EC,0,0,1,2
2024,2024-04-14,Corinthians,Atletico-MG,0,0,0,0
2024,2024-04-14,Vasco DA Gama,Gremio,2,0,2,1
2024,2024-04-14,Atletico Paranaense,Cuiaba,3,0,4,0
2024,2024-04-14,Atletico Goianiense,Flamengo,0,1,1,2
2024,2024-04-14,Cruzeiro,Botafogo,1,1,3,2
2024,2024-04-14,Vitoria,Palmeiras,0,1,0,1
2024,2024-04-17,Bahia,Fluminense,1,1,2,1
2024,2024-04-17,Gremio,Atletico Paranaense,1,0,2,0
2024,2024-04-17,RB Bragantino,Vasco DA Gama,1,0,2,1
2024,2024-04-17,Palmeiras,Internacional,0,1,0,1
2024,2024-04-17,Juventude,Corinthians,0,0,2,0
2024,2024-04-17,Fortaleza EC,Cruzeiro,1,0,1,1
2024,2024-04-17,Atletico-MG,Criciuma,1,0,1,1
2024,2024-04-18,Flamengo,Sao Paulo,1,0,2,1
2024,2024-04-19,Botafogo,Atletico Goianiense,1,0,1,0
2024,2024-04-20,Fluminense,Vasco DA Gama,1,0,2,1
2024,2024-04-20,Gremio,Cuiaba,1,0,1,0
2024,2024-04-20,RB Bragantino,Corinthians,1,0,1,0
2024,2024-04-21,Atletico-MG,Cruzeiro,3,0,3,0
2024,2024-04-21,Palmeiras,Flamengo,0,0,0,0
2024,2024-04-21,Atletico Paranaense,Internacional,0,0,1,0
2024,2024-04-21,Vitoria,Bahia,1,0,2,2
2024,2024-04-21,Botafogo,Juventude,2,0,5,1
2024,2024-04-21,Atletico Goianiense,Sao Paulo,0,1,0,3
2024,2024-04-27,Vasco DA Gama,Criciuma,0,1,0,4
2024,2024-04-27,Cuiaba,Atletico-MG,0,1,0,3
2024,2024-04-28,Bahia,Gremio,1,0,1,0
2024,2024-04-28,Flamengo,Botafogo,0,0,0,2
