season,date,home,away,ht_home,ht_away,ft_home,ft_away
2024,2024-08-02,Grazer AK,Red Bull Salzburg,2,3,2,3
2024,2024-08-03,SCR Altach,WSG Wattens,0,1,1,2
2024,2024-08-03,TSV Hartberg,Lask Linz,0,1,1,2
2024,2024-08-03,Wolfsberger AC,Austria Klagenfurt,3,0,4,1
2024,2024-08-04,Rapid Vienna,Sturm Graz,1,0,1,0
2024,2024-08-04,FC BW Linz,Austria Vienna,0,0,1,0
2024,2024-08-10,Lask Linz,SCR Altach,1,1,1,2
2024,2024-08-10,WSG Wattens,Grazer AK,0,0,0,0
2024,2024-08-10,Red Bull Salzburg,FC BW Linz,2,1,5,1
2024,2024-08-11,Austria Vienna,Wolfsberger AC,0,1,3,1
2024,2024-08-11,Sturm Graz,TSV Hartberg,1,0,2,0
2024,2024-08-11,Austria Klagenfurt,Rapid Vienna,1,1,1,1
2024,2024-08-17,Austria Klagenfurt,Sturm Graz,0,0,0,2
2024,2024-08-17,Grazer AK,FC BW Linz,0,2,2,2
2024,2024-08-17,Lask Linz,Red Bull Salzburg,0,0,0,1
2024,2024-08-18,SCR Altach,Wolfsberger AC,1,0,2,0
2024,2024-08-18,Rapid Vienna,WSG Wattens,1,0,2,0
2024,2024-08-18,TSV Hartberg,Austria Vienna,1,1,1,1
2024,2024-08-24,WSG Wattens,Austria Klagenfurt,0,0,0,1
2024,2024-08-24,Sturm Graz,SCR Altach,0,0,2,1
2024,2024-08-25,Austria Vienna,Lask Linz,1,1,2,1
2024,2024-08-25,Wolfsberger AC,Grazer AK,1,0,4,2
2024,2024-08-25,FC BW Linz,Rapid Vienna,2,0,3,0
2024,2024-08-31,TSV Hartberg,Grazer AK,0,1,1,1
2024,2024-08-31,Austria Klagenfurt,FC BW Linz,1,1,3,1
2024,2024-08-31,Sturm Graz,WSG Wattens,1,2,4,2
2024,2024-09-01,SCR Altach,Austria Vienna,1,1,1,1
2024,2024-09-01,Rapid Vienna,Red Bull Salzburg,2,2,3,2
2024,2024-09-01,Lask Linz,Wolfsberger AC,0,2,1,5
2024,2024-09-14,Wolfsberger AC,Rapid Vienna,0,1,1,1
2024,2024-09-14,FC BW Linz,Lask Linz,1,0,1,0
2024,2024-09-15,Grazer AK,SCR Altach,1,1,1,1
2024,2024-09-21,SCR Altach,FC BW Linz,0,0,0,1
2024,2024-09-21,Lask Linz,Grazer AK,2,1,4,2
2024,2024-09-21,Austria Klagenfurt,TSV Hartberg,0,1,2,2
2024,2024-09-22,Sturm Graz,Wolfsberger AC,0,1,0,3
2024,2024-09-22,WSG Wattens,Red Bull Salzburg,0,0,0,0
2024,2024-09-22,Rapid Vienna,Austria Vienna,1,1,2,1
2024,2024-09-25,Austria Vienna,Sturm Graz,0,2,2,2
2024,2024-09-26,TSV Hartberg,WSG Wattens,0,0,1,0
2024,2024-09-28,Red Bull Salzburg,Austria Vienna,1,0,2,0
2024,2024-09-28,Rapid Vienna,Lask Linz,1,0,1,1
2024,2024-09-28,FC BW Linz,Sturm Graz,1,1,1,2
2024,2024-09-29,Wolfsberger AC,WSG Wattens,0,0,1,3
2024,2024-09-29,TSV Hartberg,SCR Altach,0,0,2,0
2024,2024-09-29,Grazer AK,Austria Klagenfurt,0,1,0,1
2024,2024-10-05,Austria Vienna,Grazer AK,1,0,2,1
2024,2024-10-05,Wolfsberger AC,TSV Hartberg,0,1,2,3
2024,2024-10-05,WSG Wattens,FC BW Linz,0,1,1,1
2024,2024-10-06,SCR Altach,Rapid Vienna,0,1,0,1
2024,2024-10-06,Lask Linz,Austria Klagenfurt,1,0,4,0
2024,2024-10-06,Sturm Graz,Red Bull Salzburg,2,0,5,0
2024,2024-10-19,Red Bull Salzburg,SCR Altach,0,0,2,1
2024,2024-10-19,Sturm Graz,Grazer AK,2,0,5,2
2024,2024-10-19,FC BW Linz,Wolfsberger AC,0,1,0,1
2024,2024-10-20,WSG Wattens,Lask Linz,1,1,1,2
2024,2024-10-20,Austria Klagenfurt,Austria Vienna,0,0,0,1
2024,2024-10-20,Rapid Vienna,TSV Hartberg,1,1,2,1
2024,2024-10-26,Austria Vienna,WSG Wattens,0,0,3,0
2024,2024-10-26,SCR Altach,Austria Klagenfurt,1,1,2,2
2024,2024-10-26,TSV Hartberg,FC BW Linz,1,0,2,1
2024,2024-10-27,Wolfsberger AC,Red Bull Salzburg,0,0,0,0
2024,2024-10-27,Grazer AK,Rapid Vienna,0,0,1,1
2024,2024-10-27,Lask Linz,Sturm Graz,0,1,1,2
2024,2024-11-02,Red Bull Salzburg,Grazer AK,0,0,0,0
2024,2024-11-02,Sturm Graz,Rapid Vienna,0,0,1,1
2024,2024-11-02,Lask Linz,TSV Hartberg,0,1,1,1
2024,2024-11-03,WSG Wattens,SCR Altach,1,0,1,0
2024,2024-11-03,Austria Klagenfurt,Wolfsberger AC,2,0,2,1
2024,2024-11-03,Austria Vienna,FC BW Linz,0,1,2,1
2024,2024-11-09,Wolfsberger AC,Austria Vienna,0,0,0,1
2024,2024-11-09,TSV Hartberg,Sturm Graz,0,1,1,2
2024,2024-11-09,Grazer AK,WSG Wattens,1,0,2,1
2024,2024-11-10,SCR Altach,Lask Linz,0,0,1,2
2024,2024-11-10,FC BW Linz,Red Bull Salzburg,0,0,2,0
2024,2024-11-10,Rapid Vienna,Austria Klagenfurt,2,0,2,0
2024,2024-11-23,Red Bull Salzburg,Lask Linz,0,0,1,2
2024,2024-11-23,Sturm Graz,Austria Klagenfurt,4,0,7,0
2024,2024-11-23,WSG Wattens,Rapid Vienna,0,0,0,0
