season,date,home,away,ht_home,ht_away,ft_home,ft_away,fixture_id,league_id,home_shots,home_sot,away_shots,away_sot,home_xg_est,away_xg_est
2024,2024-08-03,Heart Of Midlothian,Rangers,0.0,0.0,0.0,0.0,1220110,179,19.0,,9.0,,0.57,0.27
2024,2024-08-03,Motherwell,Ross County,0.0,0.0,0.0,0.0,1220111,179,12.0,,7.0,,0.36,0.21
2024,2024-08-04,Dundee Utd,Dundee,2.0,1.0,2.0,2.0,1220112,179,15.0,,14.0,,0.45,0.42
2024,2024-08-04,ST Mirren,Hibernian,0.0,0.0,3.0,0.0,1220113,179,9.0,,15.0,,0.27,0.45
2024,2024-08-04,Celtic,Kilmarnock,2.0,0.0,4.0,0.0,1220114,179,32.0,,5.0,,0.96,0.15
2024,2024-08-05,ST Johnstone,Aberdeen,0.0,1.0,1.0,2.0,1220115,179,15.0,,21.0,,0.45,0.63
2024,2024-08-10,Rangers,Motherwell,2.0,1.0,2.0,1.0,1220118,179,19.0,,7.0,,0.57,0.21
2024,2024-08-10,Ross County,Dundee Utd,0.0,0.0,1.0,1.0,1220119,179,21.0,,12.0,,0.63,0.36
2024,2024-08-10,Dundee,Heart Of Midlothian,3.0,0.0,3.0,1.0,1220120,179,11.0,,14.0,,0.33,0.42
2024,2024-08-11,Hibernian,Celtic,0.0,2.0,0.0,2.0,1220121,179,4.0,,19.0,,0.12,0.57
2024,2024-08-11,Kilmarnock,ST Johnstone,0.0,2.0,0.0,3.0,1220117,179,14.0,,12.0,,0.42,0.36
2024,2024-08-11,Aberdeen,ST Mirren,1.0,1.0,3.0,1.0,1220116,179,11.0,,10.0,,0.33,0.3
2024,2024-08-24,Hibernian,Dundee,1.0,1.0,2.0,2.0,1220124,179,13.0,,9.0,,0.39,0.27
2024,2024-08-24,Rangers,Ross County,2.0,0.0,6.0,0.0,1220126,179,17.0,,4.0,,0.51,0.12
2024,2024-08-24,Dundee Utd,ST Johnstone,0.0,0.0,2.0,0.0,1220123,179,3.0,,10.0,,0.09,0.3
2024,2024-08-25,ST Mirren,Celtic,0.0,2.0,0.0,3.0,1220127,179,3.0,,21.0,,0.09,0.63
2024,2024-08-25,Aberdeen,Kilmarnock,1.0,0.0,2.0,0.0,1220122,179,12.0,,7.0,,0.36,0.21
2024,2024-08-25,Motherwell,Heart Of Midlothian,1.0,0.0,3.0,1.0,1220125,179,14.0,,9.0,,0.42,0.27
2024,2024-08-31,Dundee,ST Mirren,1.0,2.0,2.0,2.0,1220129,179,14.0,,14.0,,0.42,0.42
2024,2024-08-31,ST Johnstone,Motherwell,0.0,1.0,1.0,2.0,1220133,179,13.0,,14.0,,0.39,0.42
2024,2024-08-31,Ross County,Aberdeen,0.0,0.0,0.0,1.0,1220132,179,8.0,,9.0,,0.24,0.27
2024,2024-09-01,Celtic,Rangers,2.0,0.0,3.0,0.0,1220128,179,14.0,,13.0,,0.42,0.39
2024,2024-09-01,Kilmarnock,Hibernian,0.0,0.0,1.0,1.0,1220131,179,14.0,,9.0,,0.42,0.27
2024,2024-09-01,Heart Of Midlothian,Dundee Utd,0.0,0.0,0.0,1.0,1220130,179,14.0,,12.0,,0.42,0.36
2024,2024-09-14,Celtic,Heart Of Midlothian,0.0,0.0,2.0,0.0,1220135,179,18.0,,7.0,,0.54,0.21
2024,2024-09-14,Hibernian,ST Johnstone,1.0,0.0,2.0,0.0,1220137,179,17.0,,5.0,,0.51,0.15
2024,2024-09-14,ST Mirren,Kilmarnock,2.0,1.0,2.0,2.0,1220139,179,14.0,,11.0,,0.42,0.33
2024,2024-09-14,Aberdeen,Motherwell,1.0,0.0,2.0,1.0,1220134,179,11.0,,13.0,,0.33,0.39
2024,2024-09-14,Ross County,Dundee,2.0,0.0,2.0,0.0,1220138,179,9.0,,8.0,,0.27,0.24
2024,2024-09-15,Dundee Utd,Rangers,0.0,1.0,0.0,1.0,1220136,179,5.0,,11.0,,0.15,0.33
2024,2024-09-21,ST Mirren,Heart Of Midlothian,2.0,1.0,2.0,1.0,1220199,179,11.0,,9.0,,0.33,0.27
2024,2024-09-21,Ross County,ST Johnstone,1.0,1.0,3.0,3.0,1220198,179,14.0,,8.0,,0.42,0.24
2024,2024-09-28,Kilmarnock,Dundee Utd,0.0,1.0,3.0,3.0,1220142,179,15.0,,19.0,,0.45,0.57
2024,2024-09-28,Dundee,Aberdeen,1.0,2.0,1.0,2.0,1220140,179,14.0,,8.0,,0.42,0.24
2024,2024-09-28,Heart Of Midlothian,Ross County,0.0,1.0,1.0,1.0,1220141,179,21.0,,13.0,,0.63,0.39
2024,2024-09-28,Motherwell,ST Mirren,2.0,1.0,2.0,1.0,1220143,179,9.0,,15.0,,0.27,0.45
2024,2024-09-28,ST Johnstone,Celtic,0.0,3.0,0.0,6.0,1220145,179,5.0,,19.0,,0.15,0.57
2024,2024-09-29,Rangers,Hibernian,1.0,0.0,1.0,0.0,1220144,179,18.0,,18.0,,0.54,0.54
2024,2024-10-05,Hibernian,Motherwell,0.0,0.0,1.0,2.0,1220148,179,17.0,,11.0,,0.51,0.33
2024,2024-10-05,ST Mirren,Dundee Utd,0.0,0.0,0.0,1.0,1220151,179,16.0,,12.0,,0.48,0.36
2024,2024-10-05,Dundee,Kilmarnock,1.0,0.0,2.0,3.0,1220147,179,10.0,,25.0,,0.3,0.75
2024,2024-10-06,Ross County,Celtic,1.0,0.0,1.0,2.0,1220150,179,8.0,,23.0,,0.24,0.69
2024,2024-10-06,Aberdeen,Heart Of Midlothian,1.0,1.0,3.0,2.0,1220146,179,11.0,,11.0,,0.33,0.33
2024,2024-10-06,Rangers,ST Johnstone,1.0,0.0,2.0,0.0,1220149,179,21.0,,10.0,,0.63,0.3
2024,2024-10-19,Celtic,Aberdeen,2.0,0.0,2.0,2.0,1220152,179,32.0,,8.0,,0.96,0.24
2024,2024-10-19,Heart Of Midlothian,ST Mirren,1.0,0.0,4.0,0.0,1220154,179,12.0,,5.0,,0.36,0.15
2024,2024-10-19,Motherwell,Dundee,0.0,1.0,0.0,1.0,1220156,179,10.0,,15.0,,0.3,0.45
2024,2024-10-19,ST Johnstone,Ross County,2.0,0.0,3.0,0.0,1220157,179,18.0,,7.0,,0.54,0.21
