season,date,home,away,ht_home,ht_away,ft_home,ft_away,fixture_id,league_id,home_shots,home_sot,away_shots,away_sot,home_xg_est,away_xg_est
2024,2024-02-16,Cork City,Kerry,2.0,0.0,2.0,0.0,1149608,358,,,,,,
2024,2024-02-16,Athlone Town,Wexford,3.0,0.0,3.0,0.0,1149606,358,,,,,,
2024,2024-02-16,Bray Wanderers,UCD,0.0,2.0,1.0,2.0,1149607,358,,,,,,
2024,2024-02-16,Treaty United,Cobh Ramblers,1.0,0.0,3.0,1.0,1149609,358,,,,,,
2024,2024-02-17,Longford Town,Finn Harps,2.0,1.0,2.0,3.0,1149610,358,,,,,,
2024,2024-02-23,Finn Harps,Cork City,1.0,0.0,1.0,1.0,1149612,358,,,,,,
2024,2024-02-23,UCD,Treaty United,0.0,0.0,0.0,1.0,1149614,358,,,,,,
2024,2024-02-23,Cobh Ramblers,Athlone Town,0.0,2.0,3.0,3.0,1149611,358,,,,,,
2024,2024-02-23,Kerry,Bray Wanderers,1.0,0.0,2.0,3.0,1149613,358,,,,,,
2024,2024-03-01,Cork City,UCD,1.0,0.0,1.0,0.0,1149617,358,,,,,,
2024,2024-03-01,Finn Harps,Athlone Town,2.0,0.0,2.0,0.0,1149618,358,,,,,,
2024,2024-03-01,Kerry,Treaty United,0.0,0.0,0.0,1.0,1149619,358,,,,,,
2024,2024-03-08,Finn Harps,Cobh Ramblers,0.0,1.0,0.0,1.0,1149658,358,,,,,,
2024,2024-03-08,UCD,Wexford,0.0,1.0,1.0,2.0,1149624,358,,,,,,
2024,2024-03-08,Athlone Town,Kerry,0.0,0.0,1.0,1.0,1149621,358,,,,,,
2024,2024-03-08,Treaty United,Bray Wanderers,2.0,0.0,2.0,2.0,1149623,358,,,,,,
2024,2024-03-09,Longford Town,Cork City,0.0,0.0,0.0,2.0,1149625,358,,,,,,
2024,2024-03-15,Cork City,Bray Wanderers,2.0,0.0,2.0,0.0,1149626,358,,,,,,
2024,2024-03-15,UCD,Athlone Town,2.0,0.0,3.0,0.0,1149628,358,,,,,,
2024,2024-03-15,Wexford,Finn Harps,1.0,0.0,1.0,2.0,1149629,358,,,,,,
2024,2024-03-15,Kerry,Cobh Ramblers,0.0,0.0,1.0,1.0,1149627,358,,,,,,
2024,2024-03-22,Finn Harps,Kerry,0.0,0.0,0.0,0.0,1149634,358,,,,,,
2024,2024-03-22,Athlone Town,Longford Town,0.0,3.0,3.0,3.0,1149631,358,,,,,,
2024,2024-03-22,Bray Wanderers,Wexford,2.0,3.0,3.0,4.0,1149632,358,,,,,,
2024,2024-03-22,Cobh Ramblers,UCD,0.0,0.0,1.0,2.0,1149633,358,,,,,,
2024,2024-03-22,Treaty United,Cork City,0.0,0.0,0.0,0.0,1149635,358,,,,,,
2024,2024-03-25,Bray Wanderers,Longford Town,0.0,1.0,1.0,1.0,1149616,358,,,,,,
2024,2024-03-29,Cork City,Athlone Town,0.0,0.0,1.0,0.0,1149637,358,,,,,,
2024,2024-03-29,Bray Wanderers,Cobh Ramblers,1.0,1.0,2.0,2.0,1149636,358,,,,,,
2024,2024-03-29,Longford Town,UCD,0.0,1.0,1.0,2.0,1149639,358,,,,,,
2024,2024-03-29,Kerry,Wexford,1.0,0.0,1.0,1.0,1149638,358,,,,,,
2024,2024-03-29,Treaty United,Finn Harps,0.0,0.0,0.0,1.0,1149640,358,,,,,,
2024,2024-04-01,Cobh Ramblers,Longford Town,0.0,1.0,1.0,1.0,1149642,358,,,,,,
2024,2024-04-01,Wexford,Cork City,0.0,1.0,1.0,1.0,1149645,358,,,,,,
2024,2024-04-01,Finn Harps,Bray Wanderers,1.0,0.0,2.0,0.0,1149643,358,,,,,,
2024,2024-04-01,UCD,Kerry,1.0,0.0,1.0,1.0,1149644,358,,,,,,
