season,date,home,away,ht_home,ht_away,ft_home,ft_away,fixture_id,league_id,home_shots,home_sot,away_shots,away_sot,home_xg_est,away_xg_est
2023,2023-08-18,Volos NFC,Lamia,0.0,0.0,2,2,1073486,197,10.0,,13.0,,0.3,0.39
2023,2023-08-20,OFI,Aris Thessalonikis,2.0,1.0,3,2,1073488,197,14.0,,16.0,,0.42,0.48
2023,2023-08-20,PAOK,Asteras Tripolis,1.0,0.0,3,0,1073490,197,13.0,,8.0,,0.39,0.24
2023,2023-08-20,PAS Giannina,Kifisia,1.0,0.0,3,0,1073491,197,,,,,,
2023,2023-08-20,Olympiakos Piraeus,Panserraikos,0.0,0.0,2,0,1073487,197,31.0,,6.0,,0.93,0.18
2023,2023-08-25,Panetolikos,PAS Giannina,0.0,0.0,0,0,1073496,197,19.0,,7.0,,0.57,0.21
2023,2023-08-26,Panathinaikos,Volos NFC,2.0,0.0,3,0,1073495,197,13.0,,5.0,,0.39,0.15
2023,2023-08-26,Asteras Tripolis,OFI,2.0,0.0,3,0,1073493,197,12.0,,17.0,,0.36,0.51
2023,2023-08-26,AEK Athens FC,Panserraikos,0.0,1.0,1,1,1073492,197,36.0,,9.0,,1.08,0.27
2023,2023-08-27,Lamia,Aris Thessalonikis,1.0,0.0,1,0,1073498,197,7.0,,7.0,,0.21,0.21
2023,2023-08-27,PAOK,Kifisia,1.0,0.0,2,1,1073497,197,17.0,,6.0,,0.51,0.18
2023,2023-08-27,Olympiakos Piraeus,Atromitos,2.0,0.0,4,0,1073586,197,27.0,,3.0,,0.81,0.09
2023,2023-09-01,Kifisia,Atromitos,1.0,0.0,2,1,1073501,197,12.0,,13.0,,0.36,0.39
2023,2023-09-02,Panserraikos,Panetolikos,1.0,0.0,1,1,1073504,197,15.0,,10.0,,0.45,0.3
2023,2023-09-03,Olympiakos Piraeus,Lamia,2.0,0.0,4,0,1073502,197,18.0,,7.0,,0.54,0.21
2023,2023-09-03,Aris Thessalonikis,Asteras Tripolis,1.0,1.0,3,2,1073499,197,10.0,,8.0,,0.3,0.24
2023,2023-09-03,OFI,PAOK,0.0,0.0,1,0,1073503,197,9.0,,13.0,,0.27,0.39
2023,2023-09-03,Volos NFC,AEK Athens FC,1.0,2.0,2,3,1073500,197,8.0,,15.0,,0.24,0.45
2023,2023-09-03,PAS Giannina,Panathinaikos,0.0,0.0,0,1,1073505,197,10.0,,11.0,,0.3,0.33
2023,2023-09-16,Lamia,OFI,0.0,1.0,2,2,1073512,197,8.0,,10.0,,0.24,0.3
2023,2023-09-16,Panetolikos,Panathinaikos,0.0,2.0,0,5,1073510,197,11.0,,19.0,,0.33,0.57
2023,2023-09-17,Asteras Tripolis,PAS Giannina,2.0,2.0,2,2,1073507,197,13.0,,7.0,,0.39,0.21
2023,2023-09-17,Kifisia,Panserraikos,0.0,3.0,4,4,1073509,197,20.0,,8.0,,0.6,0.24
2023,2023-09-17,PAOK,Aris Thessalonikis,0.0,0.0,0,0,1073511,197,11.0,,8.0,,0.33,0.24
2023,2023-09-17,AEK Athens FC,Olympiakos Piraeus,1.0,1.0,1,1,1073506,197,10.0,,9.0,,0.3,0.27
2023,2023-09-18,Atromitos,Volos NFC,1.0,0.0,1,1,1073508,197,12.0,,10.0,,0.36,0.3
2023,2023-09-23,OFI,Atromitos,1.0,0.0,1,1,1073516,197,19.0,,13.0,,0.57,0.39
2023,2023-09-23,Panserraikos,Lamia,0.0,0.0,2,0,1073518,197,14.0,,5.0,,0.42,0.15
2023,2023-09-24,Olympiakos Piraeus,Kifisia,2.0,0.0,4,0,1073515,197,13.0,,9.0,,0.39,0.27
2023,2023-09-24,Aris Thessalonikis,Panetolikos,1.0,0.0,3,0,1073513,197,20.0,,9.0,,0.6,0.27
2023,2023-09-24,Volos NFC,Asteras Tripolis,0.0,2.0,1,2,1073514,197,13.0,,15.0,,0.39,0.45
2023,2023-09-24,PAS Giannina,PAOK,1.0,2.0,1,3,1073519,197,13.0,,10.0,,0.39,0.3
2023,2023-09-25,Panathinaikos,AEK Athens FC,1.0,1.0,1,2,1073517,197,11.0,,16.0,,0.33,0.48
2023,2023-09-27,Panetolikos,OFI,1.0,1.0,1,1,1073524,197,18.0,,23.0,,0.54,0.69
2023,2023-09-27,Kifisia,Lamia,0.0,0.0,1,1,1073522,197,22.0,,10.0,,0.66,0.3
2023,2023-09-27,Olympiakos Piraeus,Aris Thessalonikis,1.0,0.0,4,1,1073523,197,20.0,,7.0,,0.6,0.21
2023,2023-09-27,PAOK,Volos NFC,2.0,0.0,3,0,1073526,197,17.0,,6.0,,0.51,0.18
2023,2023-09-28,Panserraikos,PAS Giannina,2.0,1.0,3,2,1073525,197,13.0,,5.0,,0.39,0.15
2023,2023-09-28,Asteras Tripolis,Panathinaikos,1.0,2.0,1,4,1073521,197,9.0,,12.0,,0.27,0.36
2023,2023-09-28,AEK Athens FC,Atromitos,1.0,0.0,2,1,1073520,197,21.0,,6.0,,0.63,0.18
2023,2023-10-01,Lamia,Panetolikos,1.0,0.0,1,0,1073533,197,7.0,,10.0,,0.21,0.3
2023,2023-10-01,Aris Thessalonikis,Kifisia,1.0,0.0,1,1,1073527,197,14.0,,14.0,,0.42,0.42
2023,2023-10-01,Panathinaikos,PAOK,1.0,1.0,2,2,1073531,197,24.0,,6.0,,0.72,0.18
2023,2023-10-01,PAS Giannina,Olympiakos Piraeus,0.0,2.0,0,3,1073532,197,5.0,,26.0,,0.15,0.78
2023,2023-10-02,Atromitos,Asteras Tripolis,0.0,0.0,0,0,1073528,197,8.0,,11.0,,0.24,0.33
2023,2023-10-02,OFI,AEK Athens FC,1.0,0.0,2,0,1073530,197,8.0,,14.0,,0.24,0.42
2023,2023-10-08,AEK Athens FC,Panetolikos,2.0,0.0,3,0,1073485,197,25.0,,8.0,,0.75,0.24
2023,2023-10-08,Panathinaikos,Atromitos,3.0,0.0,5,0,1073489,197,16.0,,5.0,,0.48,0.15
2023,2023-10-20,Lamia,PAS Giannina,2.0,1.0,2,1,1073540,197,15.0,,12.0,,0.45,0.36
2023,2023-10-21,Panetolikos,Volos NFC,1.0,0.0,2,0,1073537,197,15.0,,13.0,,0.45,0.39
2023,2023-10-21,Aris Thessalonikis,Panserraikos,0.0,0.0,1,0,1073626,197,23.0,,8.0,,0.69,0.24
2023,2023-10-22,Asteras Tripolis,AEK Athens FC,0.0,1.0,0,3,1073534,197,5.0,,20.0,,0.15,0.6
2023,2023-10-22,Kifisia,OFI,0.0,0.0,0,0,1073535,197,12.0,,9.0,,0.36,0.27
2023,2023-10-22,PAOK,Atromitos,1.0,0.0,2,0,1073539,197,20.0,,6.0,,0.6,0.18
2023,2023-10-22,Olympiakos Piraeus,Panathinaikos,,,1,1,1073536,197,6.0,,7.0,,0.18,0.21
2023,2023-10-28,Volos NFC,Kifisia,1.0,0.0,2,1,1073545,197,14.0,,9.0,,0.42,0.27
2023,2023-10-28,Atromitos,Panetolikos,0.0,1.0,3,2,1073544,197,12.0,,7.0,,0.36,0.21
2023,2023-10-29,Asteras Tripolis,Lamia,0.0,0.0,0,1,1073543,197,13.0,,10.0,,0.39,0.3
2023,2023-10-29,Panathinaikos,Panserraikos,3.0,0.0,5,0,1073547,197,18.0,,9.0,,0.54,0.27
