season,date,home,away,ht_home,ht_away,ft_home,ft_away
2024,2024-07-19,Sparta Praha,Pardubice,1,1,2,1
2024,2024-07-20,FK Jablonec,Mlada Boleslav,1,0,2,0
2024,2024-07-20,Bohemians 1905,Baník Ostrava,0,0,2,1
2024,2024-07-20,České Budějovice,Sigma Olomouc,0,0,0,2
2024,2024-07-20,Dukla Praha,Plzen,0,2,1,3
2024,2024-07-21,Karviná,Slovan Liberec,1,2,1,3
2024,2024-07-21,Slovácko,Slavia Praha,0,0,0,0
2024,2024-07-21,Hradec Králové,Teplice,0,0,1,0
2024,2024-07-27,Dukla Praha,Bohemians 1905,0,0,1,0
2024,2024-07-27,Teplice,Sparta Praha,0,0,1,4
2024,2024-07-27,Pardubice,Karviná,0,1,0,1
2024,2024-07-27,Slavia Praha,České Budějovice,2,0,4,0
2024,2024-07-28,Slovan Liberec,Sigma Olomouc,1,0,1,1
2024,2024-07-28,Mlada Boleslav,Slovácko,2,0,3,0
2024,2024-07-28,Baník Ostrava,FK Jablonec,0,0,1,0
2024,2024-07-28,Plzen,Hradec Králové,0,0,1,0
2024,2024-08-02,Slovan Liberec,Slavia Praha,0,1,0,1
2024,2024-08-02,Sparta Praha,Dukla Praha,1,0,2,0
2024,2024-08-03,Slovácko,Bohemians 1905,0,0,0,0
2024,2024-08-03,FK Jablonec,Plzen,0,0,0,0
2024,2024-08-03,Sigma Olomouc,Teplice,1,1,2,1
2024,2024-08-04,České Budějovice,Pardubice,0,3,1,3
2024,2024-08-04,Hradec Králové,Mlada Boleslav,1,1,2,1
2024,2024-08-10,Dukla Praha,FK Jablonec,0,1,0,2
2024,2024-08-10,Bohemians 1905,Sparta Praha,1,1,1,2
2024,2024-08-10,Teplice,Slovan Liberec,1,0,2,1
2024,2024-08-10,Slavia Praha,Sigma Olomouc,1,0,2,0
2024,2024-08-11,Pardubice,Slovácko,0,0,0,1
2024,2024-08-11,Mlada Boleslav,České Budějovice,1,0,4,0
2024,2024-08-11,Baník Ostrava,Hradec Králové,0,0,1,0
2024,2024-08-11,Plzen,Karviná,2,0,5,0
2024,2024-08-17,Hradec Králové,Dukla Praha,1,0,1,0
2024,2024-08-17,Slavia Praha,Teplice,0,0,2,1
2024,2024-08-17,Karviná,Bohemians 1905,1,2,1,2
2024,2024-08-17,FK Jablonec,Sparta Praha,0,1,1,2
2024,2024-08-18,Sigma Olomouc,Mlada Boleslav,2,1,3,2
2024,2024-08-18,Slovan Liberec,Pardubice,2,0,3,0
2024,2024-08-18,České Budějovice,Plzen,0,1,0,3
